Rank,Name,Game Type,Map,Game Rank,1st Ability,2nd Ability,3rd Ability,Ultimate,Matches
17,Skye,competitive,all,Iron 1,7.6,16.3,3.1,2.4,"4,280"
18,Neon,competitive,all,Iron 1,8.6,15.3,3.9,1.5,"7,034"
19,Yoru,competitive,all,Iron 1,9.2,14.8,9.6,2.3,"8,621"
20,Breach,competitive,all,Iron 1,12.8,13.8,6.1,1.7,"1,871"
1,Killjoy,competitive,split,Iron 1,9.6,7.3,15.7,2.1,834
2,Fade,competitive,split,Iron 1,3,18.1,10.8,1.7,"1,055"
3,Omen,competitive,split,Iron 1,6.4,20.6,6.4,1.9,"1,174"
4,Viper,competitive,split,Iron 1,6,13.1,10.2,1.3,823
5,Reyna,competitive,split,Iron 1,11.2,3.9,13.5,1.4,"2,299"
6,Cypher,competitive,split,Iron 1,14.9,13.1,22.2,2.4,546
7,Raze,competitive,split,Iron 1,8.3,12.8,9.8,1.9,"1,717"
8,Sage,competitive,split,Iron 1,7.5,7.4,8.1,1.2,"2,882"
9,Jett,competitive,split,Iron 1,7.5,10.5,8.7,1.6,"1,377"
10,Brimstone,competitive,split,Iron 1,6.7,26.5,4.6,2,755
11,Skye,competitive,split,Iron 1,8,16.9,3.2,2.3,614
12,Phoenix,competitive,split,Iron 1,9.4,6.4,3.9,2.7,"1,120"
13,Yoru,competitive,split,Iron 1,10,15.3,9.9,2.3,"1,220"
14,Chamber,competitive,split,Iron 1,3,6.5,9.5,1.7,470
15,Neon,competitive,split,Iron 1,9.2,15.5,4.2,1.5,"1,007"
16,Harbor,competitive,split,Iron 1,4.5,14,12.8,2.1,223
17,Astra,competitive,split,Iron 1,3.5,18.9,4.6,1.8,146
18,Breach,competitive,split,Iron 1,12.6,13.9,6.2,1.8,262
19,Sova,competitive,split,Iron 1,8.4,20.3,3.5,1.6,932
20,KAY/O,competitive,split,Iron 1,9.8,19.7,5.8,1.6,638
1,Harbor,competitive,ascent,Iron 1,5.4,13.9,14.2,2,219
2,Killjoy,competitive,ascent,Iron 1,10,7.7,17.4,2.1,986
3,Cypher,competitive,ascent,Iron 1,13.9,13.2,19.1,1.9,536
4,Viper,competitive,ascent,Iron 1,6.1,13,11.3,1.2,859
5,Brimstone,competitive,ascent,Iron 1,7.5,29.3,4.9,2,693
6,KAY/O,competitive,ascent,Iron 1,10.2,20.1,6.5,1.7,602
7,Omen,competitive,ascent,Iron 1,6.2,21.1,6.9,1.8,"1,082"
8,Reyna,competitive,ascent,Iron 1,11.4,4.1,14,1.4,"2,210"
9,Phoenix,competitive,ascent,Iron 1,10.2,7.1,3.8,2.7,"1,064"
10,Raze,competitive,ascent,Iron 1,9,13.5,9.6,2,"1,687"
11,Sage,competitive,ascent,Iron 1,8,7.6,7.9,1.2,"2,734"
12,Sova,competitive,ascent,Iron 1,8.9,20.9,3.6,1.5,"1,015"
13,Fade,competitive,ascent,Iron 1,3.5,19.4,10.9,1.8,"1,100"
14,Yoru,competitive,ascent,Iron 1,10.1,15.1,9.7,2.4,"1,147"
15,Jett,competitive,ascent,Iron 1,9.9,11.4,9.2,1.7,"1,306"
16,Skye,competitive,ascent,Iron 1,8.1,17.1,3.3,2.3,569
17,Chamber,competitive,ascent,Iron 1,2.9,7.7,8.8,1.7,457
18,Neon,competitive,ascent,Iron 1,8.8,15.5,3.6,1.5,929
19,Breach,competitive,ascent,Iron 1,14.1,14.3,7.1,1.6,262
20,Astra,competitive,ascent,Iron 1,4,20.7,4.4,1.9,121
1,Breach,competitive,fracture,Iron 2,13.6,15.4,7,1.9,"1,599"
2,Brimstone,competitive,fracture,Iron 2,7.5,29.6,5.3,2.2,"2,995"
3,Killjoy,competitive,fracture,Iron 2,10.6,7.7,17.2,2.3,"3,687"
4,Chamber,competitive,fracture,Iron 2,3.1,6.8,10.3,1.9,"1,816"
5,Sage,competitive,fracture,Iron 2,8.2,7.9,8.3,1.4,"10,571"
6,Reyna,competitive,fracture,Iron 2,12.5,4.7,14.2,1.6,"8,570"
7,Skye,competitive,fracture,Iron 2,7.9,17.9,3.5,2.6,"2,576"
8,Neon,competitive,fracture,Iron 2,10.5,15.8,4.7,1.8,"3,646"
9,Cypher,competitive,fracture,Iron 2,15.5,13.1,23.1,2.4,"2,204"
10,Fade,competitive,fracture,Iron 2,3.6,18.4,11.4,1.9,"4,241"
11,Viper,competitive,fracture,Iron 2,7,14.1,10.9,1.5,"3,173"
12,Sova,competitive,fracture,Iron 2,8.5,20.6,3.4,1.7,"3,302"
13,Raze,competitive,fracture,Iron 2,8.1,13.1,10.3,2.2,"5,926"
14,Omen,competitive,fracture,Iron 2,6.8,21.7,5.6,1.7,"4,404"
15,Yoru,competitive,fracture,Iron 2,10,15.4,10.6,2.5,"3,804"
16,Phoenix,competitive,fracture,Iron 2,9.6,6.5,3.8,3.1,"3,888"
17,Harbor,competitive,fracture,Iron 2,5.2,13.2,12.7,2.3,780
18,Jett,competitive,fracture,Iron 2,6.9,12,9.8,1.8,"4,531"
19,Astra,competitive,fracture,Iron 2,3.8,18.4,4.7,1.8,469
20,KAY/O,competitive,fracture,Iron 2,10.3,19.6,5.9,2,"2,550"
1,Phoenix,competitive,pearl,Iron 2,10.1,6.8,4.2,2.9,"3,751"
2,Killjoy,competitive,pearl,Iron 2,11.3,8.6,18.7,2.3,"3,611"
3,Cypher,competitive,pearl,Iron 2,15.7,13.9,23.6,2.2,"2,366"
4,Breach,competitive,pearl,Iron 2,13.2,13.9,6.6,1.8,983
5,Viper,competitive,pearl,Iron 2,7,15.3,11.5,1.5,"3,517"
6,Reyna,competitive,pearl,Iron 2,12.4,4.6,14.8,1.5,"8,683"
7,Skye,competitive,pearl,Iron 2,8.4,18.5,3.7,2.6,"2,529"
8,Raze,competitive,pearl,Iron 2,8.9,13.4,10.5,2.1,"5,805"
9,Sage,competitive,pearl,Iron 2,8.6,8,8.9,1.3,"10,870"
10,Chamber,competitive,pearl,Iron 2,3.2,7.2,10.8,1.9,"2,091"
11,Astra,competitive,pearl,Iron 2,4.1,22.5,5.5,1.8,578
12,Harbor,competitive,pearl,Iron 2,5.9,15,14.1,2.3,932
13,Brimstone,competitive,pearl,Iron 2,8,30.8,5.8,2.3,"2,581"
14,Fade,competitive,pearl,Iron 2,3.8,19.9,12.3,1.9,"4,416"
15,Jett,competitive,pearl,Iron 2,7.9,12.3,10.4,1.8,"4,585"
16,Omen,competitive,pearl,Iron 2,6.8,24.2,5.8,1.9,"4,306"
17,Sova,competitive,pearl,Iron 2,9.1,21.6,3.6,1.7,"3,629"
18,Yoru,competitive,pearl,Iron 2,10.7,16.5,10.6,2.5,"4,103"
19,KAY/O,competitive,pearl,Iron 2,10.3,20.6,6.2,1.8,"2,601"
20,Neon,competitive,pearl,Iron 2,10.1,16.5,5.2,1.7,"3,538"
1,Killjoy,competitive,haven,Iron 2,11.2,7.6,16.9,2.1,"3,792"
2,KAY/O,competitive,haven,Iron 2,9.9,20.5,6,1.9,"2,413"
3,Fade,competitive,haven,Iron 2,3.3,18.1,11.2,1.8,"4,175"
4,Sage,competitive,haven,Iron 2,7.5,7.7,8.9,1.3,"10,998"
5,Reyna,competitive,haven,Iron 2,12.2,4.6,13.8,1.4,"8,656"
6,Cypher,competitive,haven,Iron 2,15.9,13.2,23.9,2.3,"2,159"
7,Viper,competitive,haven,Iron 2,6.2,14.1,9.9,1.3,"2,906"
8,Skye,competitive,haven,Iron 2,7.9,16.7,3.4,2.4,"2,547"
9,Omen,competitive,haven,Iron 2,6.5,23.1,7.5,1.8,"5,054"
10,Astra,competitive,haven,Iron 2,3.8,20,4.7,1.7,504
11,Raze,competitive,haven,Iron 2,9.1,12.7,9.9,2,"5,877"
12,Brimstone,competitive,haven,Iron 2,7.1,30,5.2,2.1,"2,737"
13,Chamber,competitive,haven,Iron 2,3.1,8.2,10.7,1.9,"2,018"
14,Jett,competitive,haven,Iron 2,8.5,12.1,9.7,1.7,"4,812"
15,Breach,competitive,haven,Iron 2,13.2,14.2,6.4,1.7,"1,052"
16,Neon,competitive,haven,Iron 2,9.7,16.5,4.5,1.6,"3,463"
17,Harbor,competitive,haven,Iron 2,5.5,13.2,14.7,2.2,731
18,Phoenix,competitive,haven,Iron 2,9.6,6.6,3.6,2.8,"3,856"
19,Sova,competitive,haven,Iron 2,8,20.7,3.3,1.7,"3,941"
20,Yoru,competitive,haven,Iron 2,10.2,15.9,10.4,2.4,"4,017"
1,Skye,competitive,lotus,Iron 2,7.7,17.4,3.6,2.6,"2,909"
2,Cypher,competitive,lotus,Iron 2,14.5,13.5,23.7,2.4,"2,135"
3,Astra,competitive,lotus,Iron 2,4.3,18.6,5.5,1.7,548
4,Sage,competitive,lotus,Iron 2,7.6,7.6,7.6,1.3,"10,645"
5,Killjoy,competitive,lotus,Iron 2,10.4,7.7,16.6,2.2,"3,675"
6,Breach,competitive,lotus,Iron 2,14.1,15.5,6.6,1.9,"1,244"
7,Reyna,competitive,lotus,Iron 2,12.6,4.6,14.5,1.5,"8,502"
8,Raze,competitive,lotus,Iron 2,8.3,13.4,10.3,2.1,"5,960"
9,Sova,competitive,lotus,Iron 2,8.1,20.5,3.2,1.7,"3,636"
10,Viper,competitive,lotus,Iron 2,6.2,14.1,10.6,1.4,"3,015"
11,Fade,competitive,lotus,Iron 2,3.5,18.7,11.8,1.9,"4,359"
12,Chamber,competitive,lotus,Iron 2,3.2,7.2,10.4,1.9,"1,904"
13,Omen,competitive,lotus,Iron 2,7.2,21.7,5.7,1.7,"4,719"
14,Phoenix,competitive,lotus,Iron 2,10,6.5,3.7,3,"3,954"
15,Jett,competitive,lotus,Iron 2,7.3,12.1,9.8,1.8,"4,602"
16,Brimstone,competitive,lotus,Iron 2,7.3,28.8,5.4,2.2,"2,626"
17,KAY/O,competitive,lotus,Iron 2,10.5,20.3,5.9,1.9,"2,711"
18,Neon,competitive,lotus,Iron 2,10.3,15.8,4.4,1.7,"3,671"
19,Yoru,competitive,lotus,Iron 2,10.2,14.8,10.4,2.5,"4,167"
20,Harbor,competitive,lotus,Iron 2,4.9,12.9,13.2,2.2,"1,056"
1,Astra,competitive,icebox,Iron 2,3.6,20.6,4.1,1.8,370
2,Cypher,competitive,icebox,Iron 2,13.8,13.3,22.4,2.2,"1,795"
3,Killjoy,competitive,icebox,Iron 2,10.2,8.3,16,2.1,"3,491"
4,Skye,competitive,icebox,Iron 2,7.1,14.9,3.1,2.5,"2,336"
5,Sage,competitive,icebox,Iron 2,7,7.4,7.5,1.3,"11,077"
6,Chamber,competitive,icebox,Iron 2,3.1,8.3,10.2,1.9,"2,067"
7,Brimstone,competitive,icebox,Iron 2,7,28.4,5.2,2.1,"2,309"
8,Raze,competitive,icebox,Iron 2,10.4,12.6,9.4,2,"5,791"
9,Neon,competitive,icebox,Iron 2,8.4,16.2,4,1.7,"3,365"
10,Omen,competitive,icebox,Iron 2,5.6,20.4,9.9,1.7,"4,675"
11,Reyna,competitive,icebox,Iron 2,12.2,4.4,12.4,1.5,"8,437"
12,Fade,competitive,icebox,Iron 2,3.1,18.6,9.9,1.8,"3,814"
13,Phoenix,competitive,icebox,Iron 2,8.3,6.2,3.5,2.8,"3,773"
14,Sova,competitive,icebox,Iron 2,7.5,21.8,3.3,1.7,"4,293"
15,Harbor,competitive,icebox,Iron 2,4.9,13.4,12.6,2.2,779
16,Viper,competitive,icebox,Iron 2,6.4,15.2,9.7,1.5,"4,126"
17,Breach,competitive,icebox,Iron 2,11.8,13.1,6,1.7,819
18,Jett,competitive,icebox,Iron 2,11.8,11.3,8.3,1.7,"5,263"
19,KAY/O,competitive,icebox,Iron 2,8.6,20.5,5.7,1.8,"2,723"
20,Yoru,competitive,icebox,Iron 2,8.4,15.5,9.5,2.4,"4,086"
1,Killjoy,competitive,all,Iron 2,10.9,8,17.6,2.2,"26,602"
2,Sage,competitive,all,Iron 2,8,7.9,8.4,1.3,"76,019"
3,Brimstone,competitive,all,Iron 2,7.5,29.9,5.4,2.2,"18,675"
4,Skye,competitive,all,Iron 2,8.1,17.4,3.6,2.5,"17,925"
5,Cypher,competitive,all,Iron 2,15.3,13.5,23.2,2.3,"15,177"
6,Viper,competitive,all,Iron 2,6.6,14.5,10.6,1.4,"22,963"
7,Breach,competitive,all,Iron 2,13.5,14.6,6.8,1.8,"7,786"
8,Reyna,competitive,all,Iron 2,12.3,4.6,14.2,1.5,"59,762"
9,Raze,competitive,all,Iron 2,9.2,13.3,10.3,2.1,"41,859"
10,Astra,competitive,all,Iron 2,4,20.3,5,1.8,"3,515"
11,Chamber,competitive,all,Iron 2,3.1,7.6,10.5,1.9,"13,243"
12,Fade,competitive,all,Iron 2,3.5,19.1,11.4,1.9,"29,194"
13,Omen,competitive,all,Iron 2,6.7,22.8,6.9,1.8,"32,791"
14,Phoenix,competitive,all,Iron 2,9.9,6.7,3.8,2.9,"27,039"
15,Sova,competitive,all,Iron 2,8.5,21.3,3.5,1.7,"26,375"
16,Jett,competitive,all,Iron 2,8.5,12,9.7,1.8,"33,245"
17,Neon,competitive,all,Iron 2,9.9,16.3,4.6,1.7,"24,381"
18,KAY/O,competitive,all,Iron 2,10.1,20.4,6.1,1.9,"18,078"
19,Harbor,competitive,all,Iron 2,5.2,13.7,13.3,2.2,"5,843"
20,Yoru,competitive,all,Iron 2,10.1,15.7,10.4,2.5,"28,189"
1,Brimstone,competitive,split,Iron 2,7.7,30.4,5.3,2.2,"2,755"
2,Killjoy,competitive,split,Iron 2,10.9,7.7,17.5,2.2,"4,015"
3,Sage,competitive,split,Iron 2,8.3,8.2,8.9,1.4,"11,183"
4,Raze,competitive,split,Iron 2,9.3,13.8,10.8,2.1,"6,315"
5,Skye,competitive,split,Iron 2,9.1,18.5,3.8,2.6,"2,638"
6,Omen,competitive,split,Iron 2,7.1,23.8,6.8,1.8,"4,961"
7,Viper,competitive,split,Iron 2,6.7,14.4,10.9,1.4,"3,224"
8,Fade,competitive,split,Iron 2,3.6,19.2,11.5,1.9,"4,197"
9,Neon,competitive,split,Iron 2,10.3,16.5,4.7,1.7,"3,511"
10,Reyna,competitive,split,Iron 2,12.3,4.6,14.6,1.5,"8,425"
11,Chamber,competitive,split,Iron 2,3.1,7.4,10.5,1.8,"1,675"
12,Cypher,competitive,split,Iron 2,15.6,13.4,22.9,2.4,"2,367"
13,Breach,competitive,split,Iron 2,13.2,14.7,7.1,1.8,"1,085"
14,Astra,competitive,split,Iron 2,4.1,20.9,5.4,1.9,552
15,Phoenix,competitive,split,Iron 2,10.6,6.8,3.8,2.9,"3,894"
16,Sova,competitive,split,Iron 2,8.7,21,3.6,1.7,"3,498"
17,Yoru,competitive,split,Iron 2,10.6,16.1,10.7,2.5,"4,044"
18,Jett,competitive,split,Iron 2,7.1,12.1,10,1.8,"4,636"
19,KAY/O,competitive,split,Iron 2,10.6,20.7,6.4,1.9,"2,566"
20,Harbor,competitive,split,Iron 2,5,13.9,12.8,2.1,784
1,Killjoy,competitive,ascent,Iron 2,11.3,8.2,19.6,2.3,"4,331"
2,Brimstone,competitive,ascent,Iron 2,7.9,31.4,5.6,2.2,"2,672"
3,Viper,competitive,ascent,Iron 2,6.7,14.1,11.4,1.3,"3,002"
4,Astra,competitive,ascent,Iron 2,4.1,20.7,4.9,1.7,494
5,Omen,competitive,ascent,Iron 2,6.9,24.7,7,1.9,"4,672"
6,Raze,competitive,ascent,Iron 2,9.9,14.2,10.7,2.1,"6,185"
7,Sage,competitive,ascent,Iron 2,8.5,8.3,8.3,1.3,"10,675"
8,Sova,competitive,ascent,Iron 2,9.6,22.5,4.1,1.7,"4,076"
9,Phoenix,competitive,ascent,Iron 2,11.3,7.3,3.7,2.9,"3,923"
10,Cypher,competitive,ascent,Iron 2,15.9,14.2,22.4,2.2,"2,151"
11,Reyna,competitive,ascent,Iron 2,12.1,4.5,14.9,1.4,"8,489"
12,Chamber,competitive,ascent,Iron 2,3.1,7.8,10.4,1.9,"1,672"
13,Jett,competitive,ascent,Iron 2,9.6,12.2,10.1,1.8,"4,816"
14,Skye,competitive,ascent,Iron 2,8.6,18.1,3.9,2.5,"2,390"
15,KAY/O,competitive,ascent,Iron 2,10.8,20.9,6.6,1.9,"2,514"
16,Fade,competitive,ascent,Iron 2,3.8,20.6,11.5,1.9,"3,992"
17,Yoru,competitive,ascent,Iron 2,11,15.8,10.3,2.4,"3,968"
18,Neon,competitive,ascent,Iron 2,10.3,16.6,4.6,1.7,"3,187"
19,Harbor,competitive,ascent,Iron 2,5,14.1,13.2,2.2,781
20,Breach,competitive,ascent,Iron 2,14.6,14.3,7.5,1.9,"1,004"
1,Killjoy,competitive,fracture,Iron 3,11.4,8.1,19.1,2.5,"11,234"
2,Jett,competitive,fracture,Iron 3,6.9,13.7,10.4,2,"10,954"
3,Brimstone,competitive,fracture,Iron 3,7.7,31.7,6.1,2.4,"9,067"
4,Breach,competitive,fracture,Iron 3,14.4,16.8,7.1,2,"5,187"
5,Reyna,competitive,fracture,Iron 3,13,5,15,1.7,"22,049"
6,Skye,competitive,fracture,Iron 3,8.5,18.9,3.7,2.8,"7,663"
7,Raze,competitive,fracture,Iron 3,9.4,13.9,10.9,2.3,"14,275"
8,Sage,competitive,fracture,Iron 3,8.7,8.4,8.8,1.5,"27,269"
9,Fade,competitive,fracture,Iron 3,3.8,19.4,12.4,2.1,"10,045"
10,Phoenix,competitive,fracture,Iron 3,10.3,6.9,4,3.2,"8,980"
11,Sova,competitive,fracture,Iron 3,9,21.4,3.9,1.8,"8,184"
12,Cypher,competitive,fracture,Iron 3,17,13.6,24.3,2.5,"6,086"
13,Viper,competitive,fracture,Iron 3,7.5,14.6,11,1.5,"8,578"
14,Chamber,competitive,fracture,Iron 3,3.3,7,10.7,2.1,"4,766"
15,Neon,competitive,fracture,Iron 3,11.1,16.3,5.2,2,"8,407"
16,Omen,competitive,fracture,Iron 3,7.1,23.4,5.8,1.8,"11,622"
17,KAY/O,competitive,fracture,Iron 3,10.6,20.5,6.3,2,"6,715"
18,Astra,competitive,fracture,Iron 3,3.8,21.9,4.7,1.9,"1,258"
19,Yoru,competitive,fracture,Iron 3,10.9,16,11.1,2.6,"8,602"
20,Harbor,competitive,fracture,Iron 3,5,14,12.9,2.5,"2,083"
1,Killjoy,competitive,pearl,Iron 3,12.1,8.8,20.2,2.4,"10,222"
2,Viper,competitive,pearl,Iron 3,7.7,16.1,11.8,1.7,"9,723"
3,Sage,competitive,pearl,Iron 3,9.2,8.6,9.5,1.5,"27,744"
4,Raze,competitive,pearl,Iron 3,9.7,14.1,11,2.2,"14,148"
5,Brimstone,competitive,pearl,Iron 3,8.1,32.8,6.4,2.3,"7,467"
6,Astra,competitive,pearl,Iron 3,4.1,24.4,5.5,2,"1,809"
7,Reyna,competitive,pearl,Iron 3,12.9,4.9,15.4,1.6,"22,265"
8,Cypher,competitive,pearl,Iron 3,18.2,14.8,26,2.4,"6,421"
9,Fade,competitive,pearl,Iron 3,4.2,20.9,13,2,"11,684"
10,Breach,competitive,pearl,Iron 3,14.2,15.1,7,1.9,"2,731"
11,Jett,competitive,pearl,Iron 3,7.6,13.9,10.9,1.9,"11,656"
12,Skye,competitive,pearl,Iron 3,8.4,19.3,3.9,2.7,"7,048"
13,Neon,competitive,pearl,Iron 3,10.5,17.2,5.4,1.8,"8,016"
14,Chamber,competitive,pearl,Iron 3,3.3,7.7,11.5,2,"5,549"
15,Sova,competitive,pearl,Iron 3,9.7,22.7,4.3,1.8,"8,878"
16,Omen,competitive,pearl,Iron 3,7.2,26.1,5.8,1.9,"11,419"
17,Phoenix,competitive,pearl,Iron 3,11.1,7.2,4.4,3.1,"9,060"
18,Yoru,competitive,pearl,Iron 3,11.3,17,11.1,2.5,"8,965"
19,Harbor,competitive,pearl,Iron 3,6.1,15.6,14.3,2.4,"2,578"
20,KAY/O,competitive,pearl,Iron 3,10.6,21.3,6.7,1.9,"7,000"
1,Skye,competitive,haven,Iron 3,8.1,17.7,3.6,2.6,"7,641"
2,Killjoy,competitive,haven,Iron 3,12,7.8,18.5,2.2,"10,676"
3,Sage,competitive,haven,Iron 3,8.2,8.2,9.4,1.4,"27,882"
4,Breach,competitive,haven,Iron 3,13.7,15.6,7,1.9,"3,202"
5,Reyna,competitive,haven,Iron 3,12.7,4.9,14.5,1.5,"22,518"
6,Phoenix,competitive,haven,Iron 3,10.7,6.8,3.7,3,"9,257"
7,Brimstone,competitive,haven,Iron 3,7.4,31.4,5.9,2.2,"8,233"
8,Raze,competitive,haven,Iron 3,9.7,13.5,10.6,2.1,"14,625"
9,Sova,competitive,haven,Iron 3,8.6,21.7,3.9,1.7,"9,996"
10,Omen,competitive,haven,Iron 3,6.9,25.3,7.6,1.8,"14,645"
11,Harbor,competitive,haven,Iron 3,5.7,13.8,14.4,2.3,"2,021"
12,Neon,competitive,haven,Iron 3,10,16.9,4.9,1.8,"7,616"
13,Cypher,competitive,haven,Iron 3,17.3,13.5,25.2,2.4,"6,124"
14,KAY/O,competitive,haven,Iron 3,10.6,21.1,6.3,1.9,"6,955"
15,Fade,competitive,haven,Iron 3,3.7,18.9,11.9,1.9,"10,181"
16,Viper,competitive,haven,Iron 3,7,15,10.5,1.5,"6,999"
17,Jett,competitive,haven,Iron 3,8.5,13.7,10.5,1.9,"12,000"
18,Chamber,competitive,haven,Iron 3,3.3,8.9,11.2,2,"5,214"
19,Astra,competitive,haven,Iron 3,3.6,21.9,4.8,1.7,"1,398"
20,Yoru,competitive,haven,Iron 3,10.7,16.6,10.8,2.5,"8,863"
1,Killjoy,competitive,lotus,Iron 3,11.3,7.9,18.2,2.4,"10,652"
2,Raze,competitive,lotus,Iron 3,9.2,14.1,10.8,2.2,"15,084"
3,Astra,competitive,lotus,Iron 3,4,20.5,5.4,1.7,"1,551"
4,Sage,competitive,lotus,Iron 3,8.2,8.1,8.2,1.5,"27,271"
5,Cypher,competitive,lotus,Iron 3,16.3,13.7,24.9,2.5,"5,611"
6,Reyna,competitive,lotus,Iron 3,13,5,15.1,1.6,"22,779"
7,Skye,competitive,lotus,Iron 3,8.1,18.6,3.7,2.7,"8,298"
8,Jett,competitive,lotus,Iron 3,7.3,13.7,10.1,1.9,"11,375"
9,Brimstone,competitive,lotus,Iron 3,7.4,29.5,6,2.3,"7,295"
10,Fade,competitive,lotus,Iron 3,3.6,19.2,12.2,2,"10,259"
11,Phoenix,competitive,lotus,Iron 3,11,6.8,3.8,3.2,"9,430"
12,Viper,competitive,lotus,Iron 3,6.4,14.5,10.2,1.5,"7,224"
13,Neon,competitive,lotus,Iron 3,10.6,16.6,4.7,1.9,"8,239"
14,Breach,competitive,lotus,Iron 3,14.7,16.7,6.7,2,"4,053"
15,KAY/O,competitive,lotus,Iron 3,10.8,21,6.3,2,"7,254"
16,Omen,competitive,lotus,Iron 3,7.4,23.9,5.6,1.7,"12,936"
17,Sova,competitive,lotus,Iron 3,8.3,21.5,3.8,1.8,"8,750"
18,Harbor,competitive,lotus,Iron 3,5.1,13.9,13.5,2.4,"2,644"
19,Chamber,competitive,lotus,Iron 3,3.5,7.7,10.8,2,"4,829"
20,Yoru,competitive,lotus,Iron 3,10.9,15.6,10.9,2.5,"8,775"
1,Killjoy,competitive,icebox,Iron 3,10.9,8.4,17.3,2.3,"10,199"
2,Sage,competitive,icebox,Iron 3,7.8,8.1,8.3,1.4,"28,824"
3,Fade,competitive,icebox,Iron 3,3.4,19.7,10.8,2,"9,717"
4,Viper,competitive,icebox,Iron 3,7.1,15.9,9.6,1.6,"11,734"
5,Cypher,competitive,icebox,Iron 3,15,13.8,24,2.3,"4,906"
6,Phoenix,competitive,icebox,Iron 3,8.8,6.7,3.6,3,"8,697"
7,Reyna,competitive,icebox,Iron 3,12.8,4.8,13,1.6,"22,234"
8,Astra,competitive,icebox,Iron 3,3.5,21.6,4.2,1.9,954
9,KAY/O,competitive,icebox,Iron 3,9.2,21.2,5.9,1.9,"7,310"
10,Skye,competitive,icebox,Iron 3,7.5,15.6,3.5,2.6,"6,683"
11,Sova,competitive,icebox,Iron 3,8.2,22.7,4.1,1.7,"11,771"
12,Chamber,competitive,icebox,Iron 3,3.3,9.2,10.5,2,"5,315"
13,Brimstone,competitive,icebox,Iron 3,6.8,30.1,5.5,2.2,"5,910"
14,Raze,competitive,icebox,Iron 3,11.3,13.3,9.7,2,"13,858"
15,Jett,competitive,icebox,Iron 3,12.2,13.2,9,1.9,"13,041"
16,Omen,competitive,icebox,Iron 3,5.8,22.5,10.1,1.8,"12,480"
17,Breach,competitive,icebox,Iron 3,12.1,13.8,6.1,1.9,"2,531"
18,Yoru,competitive,icebox,Iron 3,9.2,16.5,10.1,2.4,"9,144"
19,Neon,competitive,icebox,Iron 3,8.8,16.8,4.4,1.8,"7,387"
20,Harbor,competitive,icebox,Iron 3,5.2,14.4,12.7,2.4,"1,901"
1,Killjoy,competitive,all,Iron 3,11.6,8.2,19.1,2.3,"77,995"
2,Raze,competitive,all,Iron 3,10,14.1,10.8,2.2,"103,280"
3,Sage,competitive,all,Iron 3,8.6,8.4,9,1.5,"195,782"
4,Brimstone,competitive,all,Iron 3,7.7,31.6,6.1,2.2,"54,151"
5,Astra,competitive,all,Iron 3,3.8,22.6,5.2,1.8,"9,979"
6,Reyna,competitive,all,Iron 3,12.9,4.9,14.9,1.6,"156,612"
7,Skye,competitive,all,Iron 3,8.4,18.5,3.8,2.7,"52,258"
8,Breach,competitive,all,Iron 3,14.1,15.8,7,1.9,"24,092"
9,Viper,competitive,all,Iron 3,7.3,15.2,10.8,1.5,"59,813"
10,Cypher,competitive,all,Iron 3,17.1,13.9,24.6,2.4,"41,776"
11,Fade,competitive,all,Iron 3,3.8,20,12.2,2,"72,213"
12,Sova,competitive,all,Iron 3,9,22.3,4.2,1.8,"67,231"
13,Jett,competitive,all,Iron 3,8.5,13.7,10.3,1.9,"82,528"
14,Phoenix,competitive,all,Iron 3,10.8,7,3.9,3.1,"63,752"
15,Omen,competitive,all,Iron 3,7,24.9,7,1.8,"90,231"
16,KAY/O,competitive,all,Iron 3,10.6,21.1,6.4,1.9,"49,249"
17,Chamber,competitive,all,Iron 3,3.3,8.1,10.9,2,"34,924"
18,Neon,competitive,all,Iron 3,10.4,16.8,4.9,1.8,"54,569"
19,Harbor,competitive,all,Iron 3,5.4,14.6,13.7,2.4,"15,437"
20,Yoru,competitive,all,Iron 3,10.8,16.4,10.8,2.5,"61,041"
1,Killjoy,competitive,split,Iron 3,11.6,8,19.1,2.3,"11,074"
2,Viper,competitive,split,Iron 3,7.6,15.1,11.5,1.5,"8,357"
3,Brimstone,competitive,split,Iron 3,7.9,32.6,6.1,2.3,"7,821"
4,Cypher,competitive,split,Iron 3,17.9,13.8,24.4,2.5,"6,762"
5,Raze,competitive,split,Iron 3,10.2,14.5,11.3,2.2,"15,717"
6,Sage,competitive,split,Iron 3,9.3,8.7,9.8,1.5,"28,996"
7,Reyna,competitive,split,Iron 3,12.9,4.9,15.5,1.6,"22,607"
8,Breach,competitive,split,Iron 3,14.5,16,7.1,1.9,"3,500"
9,Skye,competitive,split,Iron 3,9.2,19.5,3.9,2.7,"7,924"
10,Astra,competitive,split,Iron 3,3.9,23.3,5.5,1.9,"1,527"
11,KAY/O,competitive,split,Iron 3,10.9,21.2,6.6,1.9,"7,213"
12,Omen,competitive,split,Iron 3,7.3,26.2,7,1.9,"13,665"
13,Phoenix,competitive,split,Iron 3,11.5,7,4.1,3.1,"9,179"
14,Jett,competitive,split,Iron 3,7,13.8,10.5,1.9,"11,500"
15,Fade,competitive,split,Iron 3,4.1,20.4,13,2,"10,339"
16,Neon,competitive,split,Iron 3,10.7,16.9,5.1,1.8,"7,669"
17,Chamber,competitive,split,Iron 3,3.1,7.8,10.8,2,"4,551"
