Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mauritius,4271.0,4494.0,5473.0,4345.0,4029.0,2898.0,1397.0,418.0,220.0,46.0,39.67,39.0,40.0,52.0,51.0,53.0,41.0,46.0,41.0,39.0,0.0,33.0,36.0,67.0,51.86,40.67,41.16,47.01,32.68,34.07,46.98,53.23
Mexico,324.0,2.0,37.0,83.0,198.0,130.0,191.0,172.0,259.0,332.0,209.59,332.0,141.0,239.0,187.0,406.0,203.0,141.0,108.0,245.0,240.0,283.0,188.0,103.0,40.64,48.86,35.1,55.15,63.38,57.46,101.15,51.92
Mongolia,,,,,,,,,,0.0,,16.0,0.0,0.0,2.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,,7.14,10.62,17.41,6.34,3.29,2.32
Montenegro,,,,,,,,,,,,,,,,,65.0,41.0,91.0,13.0,18.0,13.0,20.0,12.0,19.33,13.83,13.62,12.72,6.3,11.03,20.94,0.04
Morocco,1.0,2.0,2.0,7.0,2.0,92.0,32.0,8.0,20.0,40.0,162.0,162.0,181.0,196.0,179.0,321.0,293.0,290.0,455.0,484.0,645.0,546.0,521.0,439.0,691.3,824.64,1021.82,905.94,4288.74,1903.55,1638.11,1350.75
Mozambique,700.0,1339.0,600.0,100.0,360.0,300.0,230.0,230.0,230.0,130.0,132.0,950.0,2424.0,937.0,586.0,317.0,505.0,1518.0,1174.0,1332.0,1759.0,1324.0,2501.0,3011.0,4083.9,465.83,3142.02,3451.97,4483.28,3455.47,3204.44,3644.25
Myanmar,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,548.0,392.0,612.0,508.0,688.0,412.0,729.0,579.0,814.0,1872.0,1629.0,883.0,800.69,1270.55,3741.55,3776.63,3011.02,3401.66,3953.71
Namibia,,,,,,,,12.0,45.0,40.0,9.0,7.0,25.0,15.0,46.0,32.0,35.0,36.0,10.0,0.0,90.0,0.0,32.0,35.0,66.9,233.74,8.66,11.92,1.32,0.81,0.39,0.41
Nepal,23.0,9.0,21.0,19.0,25.0,72.0,73.0,81.0,35.0,119.0,82.0,70.0,80.0,2160.0,3740.0,5406.0,3881.0,9697.0,9762.0,9196.0,8498.0,8854.0,9893.0,10206.0,9942.76,11001.89,13324.78,12940.83,17695.15,10659.65,13498.79,9441.44
Netherlands,14755.0,15252.0,18701.0,14965.0,10061.0,11963.0,9715.0,10145.0,9991.0,10155.0,9357.0,9745.0,11688.0,10970.0,12649.0,16581.0,17350.0,17561.0,18834.0,18158.0,17628.0,10059.0,15024.0,16420.0,16589.92,16792.28,17465.28,17151.07,13053.53,12303.76,14337.66,15534.94
New Caledonia,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.02,,,0.04,,0.0
New Zealand,30.0,42.0,82.0,116.0,122.0,109.0,90.0,108.0,100.0,136.0,102.88,65.0,50.0,46.0,56.0,133.0,92.0,101.0,96.0,86.0,332.0,59.0,93.0,175.0,167.97,111.97,146.54,111.74,79.44,74.29,104.52,388.61
Nicaragua,,,,,,,,,,,0.15,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.04,0.28,,2.27,
Niger,0.0,0.0,0.0,0.0,0.0,178.0,0.08,32.0,86.0,30.0,291.0,61.0,82.0,56.0,162.0,1260.0,571.0,493.0,851.0,851.0,1041.0,943.0,1177.0,1853.0,2601.18,3375.69,4198.91,4813.0,3287.0,2760.0,1693.82,1414.0
Nigeria,34.0,1.0,81.0,0.0,0.0,64.0,80.0,40.0,60.0,60.0,0.0,550.0,998.0,180.0,145.0,48.0,94.0,85.0,18.0,94.0,33.0,30.0,9.0,28.0,22.6,12.32,71.03,153.75,341.96,597.89,479.37,42.17
North Macedonia,,,196.0,80.0,14.0,21.0,2.0,30.0,170.0,99.0,5.0,19.0,8.0,6.0,7.0,25.0,13.0,22.0,11.0,15.0,5.0,2.0,5.0,6.0,6.21,11.11,4.74,6.53,2.86,1.69,17.54,39.86
Norway,9.0,6.0,16.0,12.0,32.0,29.0,26.0,15.0,10.0,9.0,22.88,7.0,25.0,10.0,11.0,10.0,21.0,9.0,5.0,7.0,15.0,11.0,7.0,13.0,23.41,25.84,20.95,28.63,15.9,10.86,6.99,10.7
Oman,164.0,77.0,118.0,292.0,320.0,361.0,345.0,804.0,1116.0,575.0,411.0,375.0,1961.0,1997.0,1261.0,2334.0,2778.0,2778.0,3115.0,9430.0,712.0,1840.0,1403.0,2128.0,466.89,1929.37,1418.63,3836.63,1910.84,310.43,270.87,4538.86
Pakistan,1074.0,0.0,51.0,85.0,1510.0,7633.0,9.0,0.0,43.0,43.0,14.55,24.0,5.0,39.0,138.0,162.0,232.0,247.0,568.0,933.0,1244.0,1179.0,2756.0,3190.0,2990.02,1381.91,1457.63,1588.57,5154.63,5181.06,3169.33,5421.15
Palestine,,,,,,30.0,57.0,30.0,13.0,29.0,57.0,81.0,92.0,100.0,35.0,45.0,110.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.08
Panama,101.0,82.0,92.0,106.0,73.0,90.0,76.0,89.0,78.0,71.0,73.55,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.12,1.13,119.99,12.77,17.16,22.01,
Papua New Guinea,5408.0,3747.0,5638.0,6441.0,3400.0,4200.0,9300.0,6500.0,6600.0,8200.0,8500.0,8800.0,5200.0,6600.0,8100.0,6900.0,6600.0,6400.0,5937.0,6250.0,4581.0,4224.0,3737.0,2943.0,1932.51,1303.0,896.0,938.0,711.0,345.0,305.07,268.51
Paraguay,,,,,8.0,0.0,11.0,7.0,11.0,16.0,3.0,14.0,3.0,16.0,41.0,46.0,90.0,175.0,199.0,211.0,72.0,118.0,0.0,0.0,34.89,47.23,35.01,9.75,1.23,1.27,1.38,1.15
Peru,93.0,196.0,229.0,391.0,206.0,107.0,50.0,95.0,40.0,30.0,10.61,48.0,42.0,8.0,12.0,7.0,3.0,2.0,3.0,3.0,89.0,5.0,6.0,15.0,7.25,8.67,21.66,27.84,31.81,28.5,81.78,434.83
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,23.0,0.0,0.0,5.0,423.0,0.0,332.0,163.0,14.0,365.0,144.0,21.0,10.0,12.1,9.6,0.53,24.2,2.37,11.72,40.13,25.87
Poland,0.0,0.0,3197.0,3243.0,2287.0,1407.0,1603.0,2221.0,3399.0,2701.0,2899.73,2555.0,3199.0,3526.0,4887.0,5534.0,4772.0,5690.0,7002.0,8609.0,10008.0,14151.0,16896.0,19180.0,21638.77,19676.36,19686.47,20109.17,19068.81,22891.87,24261.88,21817.25
Portugal,16.0,44.0,8.0,6.0,20.0,7.0,6.0,22.0,36.0,40.0,28.0,27.0,51.0,29.0,44.0,30.0,62.0,66.0,72.0,86.0,106.0,129.0,146.0,135.0,195.21,228.46,198.96,177.66,241.63,169.99,120.99,131.75
Qatar,98.0,71.0,76.0,54.0,62.0,157.0,157.0,157.0,157.0,157.0,27.0,0.0,108.0,46.0,17.0,14.0,17.0,34.0,11.0,29.0,3.0,2.0,1.0,1.0,78.21,33.94,14.17,1.32,20.37,12.14,,8.47
Republic of Korea,248.0,230.0,257.0,247.0,359.0,366.0,252.0,274.0,228.0,390.0,371.5,867.0,1380.0,1612.0,2046.0,1481.0,1541.0,814.0,637.0,1204.0,711.0,507.0,569.0,558.0,452.48,286.82,375.13,512.49,354.58,363.2,500.06,516.07
Republic of Moldova,,,7.0,,14.0,47.0,43.0,37.0,,6.0,0.0,5.0,44.0,44.0,24.0,31.0,52.0,128.0,43.0,34.0,20.0,6.0,0.0,9.0,22.96,91.89,104.54,133.94,151.75,95.62,52.83,36.55
Romania,0.0,2.0,8.0,4.0,10.0,4.0,15.0,18.0,12.0,82.0,39.0,18.0,25.0,58.0,73.0,68.0,541.0,264.0,297.0,689.0,106.0,100.0,69.0,69.0,57.04,120.24,154.88,237.9,235.18,171.32,148.08,67.84
Russian Federation,,,174.0,191.0,8361.0,6842.0,7451.0,9832.0,6756.0,1997.0,2112.62,907.0,1766.0,2959.0,5817.0,6686.0,8525.0,10298.0,11464.0,9713.0,9170.0,7309.0,12538.0,13578.0,12307.57,12517.3,14767.45,16862.81,18852.23,19850.91,20537.55,21852.8
Rwanda,11759.0,13297.0,13486.0,11594.0,5000.0,2500.0,3107.0,13249.0,15042.0,11886.0,11814.0,17900.0,14658.0,15170.0,1102.0,16661.0,16849.0,20056.0,20042.0,20624.0,22143.0,21011.0,23010.0,22344.0,24031.86,25626.45,25415.9,26242.79,30945.79,31157.34,37033.0,38867.15
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,0.94,1.06,2.99,0.27
Saint Lucia,,,,,,,,,,,,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.03,2.12,2.28,1.53,2.03,0.53,0.25
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,0.06,0.0,,,0.0,,0.0
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.0,1.29,0.07,,2.06
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.0,,0.0,0.01,
Saudi Arabia,340.0,194.0,54.0,94.0,198.0,68.0,194.0,182.0,534.0,120.0,186.86,146.0,366.0,551.0,933.0,1002.0,1179.0,1411.0,675.0,675.0,2232.0,2330.0,1746.0,1184.0,1889.0,1716.12,1667.98,1958.67,2048.64,1247.42,1827.71,1747.77
Senegal,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.74,0.0,2.0,67.0,215.0,12.0,13.0,102.0,60.0,1.0,26.0,13.0,247.0,1353.0,2667.38,2144.18,434.3,1121.4,2742.05,1071.9,1246.89,1239.05
Serbia,,,,,,,,,,,,,,,,,53.0,91.0,44.0,45.0,48.0,54.0,42.0,52.0,45.07,38.66,75.42,58.01,72.92,45.5,51.9,50.68
Serbia and Montenegro,,,0.0,0.0,0.0,0.0,38.0,21.0,3.0,5.0,40.0,44.0,34.0,5.0,48.0,26.0,,,,,,,,,,,,,,,,
Seychelles,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.88,,0.02,,0.0,,0.0
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,16.51,15.0,14.41,13.16,10.0,172.32,31.75,34.24
Singapore,10882.0,9760.0,6849.0,11230.0,8913.0,6791.0,6562.0,5247.0,5009.0,4660.0,5255.74,3592.0,3993.0,2439.0,1570.0,2078.0,1715.0,1371.0,1233.0,1397.0,1085.0,1677.0,1346.0,1404.0,1386.62,1797.73,2380.12,2004.46,2449.07,2180.91,2438.51,1568.04
Slovakia,,,,61.0,79.0,171.0,146.0,88.0,61.0,70.0,95.0,162.0,186.0,214.0,324.0,295.0,271.0,157.0,168.0,184.0,140.0,317.0,398.0,270.0,48.95,113.14,35.04,51.57,72.26,21.75,27.71,49.95
Slovenia,,,23.0,22.0,27.0,79.0,16.0,8.0,6.0,107.0,95.06,7.0,7.0,18.0,22.0,30.0,78.0,73.0,91.0,83.0,20.0,9.0,11.0,19.0,31.09,18.72,39.44,32.14,34.63,36.45,44.89,42.73
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,16.0,0.0,321.0,0.0,0.0,18.0,18.0,0.0,0.0,0.19,0.01,,0.02,0.81,0.15,0.01,
South Africa,882.0,1050.0,994.0,1100.0,802.0,1338.0,1043.0,1024.0,2752.0,4813.0,10111.02,6450.0,10922.0,7617.0,5701.0,2231.0,3505.0,5137.0,9284.0,5431.0,4346.0,2542.0,2798.0,7987.0,7130.42,6118.48,5136.44,5374.52,5973.64,5269.75,5111.81,4436.83
South Sudan,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.32,,,0.14,0.22,0.28
Spain,36.0,71.0,274.0,8.0,40.0,82.0,22.0,42.0,64.0,74.0,150.0,147.0,114.0,230.0,272.0,350.0,266.0,226.0,352.0,320.0,633.0,619.0,1194.0,1144.0,1328.95,1144.88,913.96,1230.56,1411.45,1205.71,1093.86,1371.62
Sri Lanka,216033.0,212017.0,181259.0,134742.0,115097.0,178005.0,218714.0,267726.0,270938.0,268330.0,287005.37,293524.0,290500.0,297003.0,298909.0,307793.0,204240.0,190203.0,318329.0,288528.0,312908.0,321074.0,318396.0,317710.0,325140.69,304835.24,286760.23,286862.97,164709.0,289585.94,285086.66,282986.07
Sudan,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,16.56,0.05,,11.0,0.21,0.35,18.3,394.95
Sudan (former),,,,,,,,,,,,,101.0,5.0,21.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,16.0,1.8,7.31,112.35,,,,,11.15
Sweden,68.0,50.0,161.0,130.0,246.0,586.0,579.0,644.0,683.0,782.0,1137.0,1040.0,835.0,839.0,881.0,843.0,1406.0,869.0,941.0,911.0,851.0,723.0,498.0,414.0,379.17,363.87,401.1,370.12,484.0,443.43,338.75,375.46
Switzerland,1061.0,1478.0,1719.0,1818.0,1774.0,1585.0,1632.0,1847.0,1858.0,1829.0,1775.86,1927.0,2332.0,1958.0,1928.0,2432.0,1276.0,723.0,1703.0,1375.0,1928.0,2677.0,2830.0,4075.0,4160.26,4125.05,4252.08,4621.82,4870.76,5436.55,5909.45,6294.04
Syrian Arab Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,11.0,1520.0,1056.0,188.0,109.0,109.0,72.0,27.0,43.0,16.58,33.03,74.6,152.57,111.38,86.97,74.51,106.18
Tajikistan,,,,,,,2.0,,,,,15.0,0.0,15.0,0.0,100.0,100.0,100.0,171.0,170.0,2.0,0.0,0.0,0.0,0.0,,58.52,20.94,0.04,40.57,24.57,
Thailand,284.0,260.0,216.0,151.0,233.0,269.0,184.0,218.0,228.0,429.0,587.0,1249.0,1705.0,1072.0,814.0,1249.0,1472.0,2720.0,2365.0,2958.0,2381.0,1214.0,1428.0,1638.0,1638.47,1840.01,1824.91,2709.12,2742.84,3471.23,2850.51,3481.73
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,0.18,
Togo,7.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,41.0,3.0,266.0,18.0,4.0,92.0,106.0,141.0,82.57,66.31,33.12,31.84,95.97,90.13,51.33,11.95
Tonga,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.01,,,,,,,
Trinidad and Tobago,1.0,10.0,11.0,1.0,0.0,1.0,2.0,3.0,3.0,8.0,7.02,22.0,49.0,89.0,117.0,55.0,46.0,58.0,47.0,33.0,34.0,51.0,31.0,31.0,120.38,96.78,58.21,52.93,73.31,56.59,177.21,49.9
Tunisia,0.0,0.0,0.0,0.0,92.0,132.0,8.0,52.0,21.0,2.0,4.0,9.0,6.0,21.0,22.0,15.0,6.0,8.0,8.0,7.0,17.0,18.0,15.0,27.0,21.3,2.88,2.22,1.3,0.2,0.33,0.71,0.11
Turkmenistan,,,,,,27.0,,,0.0,100.0,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41,,,0.15,20.0,39.99,25.06,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
Türkiye,27654.0,2314.0,5048.0,39602.0,5201.0,2302.0,4011.0,19103.0,17526.0,4522.0,6381.11,4817.0,4852.0,6711.0,5929.0,5769.0,2674.0,3330.0,3191.0,2135.0,2191.0,2242.0,3161.0,4853.0,4630.89,5489.86,6116.87,5177.29,3556.34,4362.28,4918.36,5814.62
USSR,6915.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,4760.0,7018.0,7816.0,10175.0,0.0,0.0,0.0,17341.69,22893.0,22102.0,26388.0,18220.0,30379.0,8071.0,36856.0,36532.0,30584.0,44015.0,46022.0,44446.0,55079.0,55650.0,55210.0,62018.0,59687.05,53318.75,56286.42,59206.67,70101.14,69095.16,72454.47,18064.0
United Arab Emirates,6510.0,11528.0,8634.0,3712.0,22816.0,21236.0,20109.0,3500.0,4000.0,6000.0,12400.0,17400.0,27212.0,18973.0,14738.0,38717.0,27411.0,37218.0,45872.0,23681.0,49819.0,24761.0,31040.0,45001.0,71341.76,30300.6,31877.55,54612.66,67492.23,65798.9,57720.38,59510.0
United Kingdom of Great Britain and Northern Ireland,36045.0,32092.0,30950.0,46673.0,34205.0,33138.0,33187.0,31218.0,29564.0,29509.0,22501.0,27282.0,29888.0,37319.0,28528.0,25163.0,25905.0,25353.0,27652.0,27741.0,30676.0,26436.0,21258.0,22370.0,20744.48,20094.67,18706.5,18862.85,18107.34,19153.63,19087.42,16463.31
United Republic of Tanzania,14902.0,17549.0,20400.0,19800.0,21670.0,21600.0,22020.0,19324.0,21399.97,22126.0,22797.0,22981.0,24306.0,20887.0,24330.0,23259.0,24825.0,30506.0,28103.0,30438.0,26172.0,27114.0,27784.0,26372.0,27808.26,29293.4,26307.65,27547.83,26909.17,31655.48,24095.56,24239.03
United States of America,2558.0,2679.0,3070.0,3987.0,3487.0,3809.0,4075.0,5114.0,4595.0,6205.0,6087.94,5963.0,6352.0,7189.0,5876.0,5298.0,3899.0,8071.0,9091.0,8530.0,10835.0,11326.0,14196.0,13671.0,15387.86,16078.85,17717.67,18497.36,18275.16,17187.27,14261.69,15238.54
Uruguay,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,2.0,9.0,7.0,3.0,5.0,1.0,5.0,6.0,1.0,29.0,16.0,17.0,9.0,18.63,12.47,1.78,0.12,0.16,0.15,0.16,0.25
Uzbekistan,,,,,,,,,,,16.8,0.0,26.0,12.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,6.68,21.45,19.88,37.57,133.96,176.13
Vanuatu,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,,9.09,,,10.08,,0.0,
Venezuela (Bolivarian Republic of),1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.13,1.03,,0.03,,3.17
Viet Nam,16076.0,7953.0,12967.0,21200.0,23500.0,18800.0,20800.0,32901.0,33000.0,36000.0,55600.0,67900.0,77000.0,58600.0,104000.0,88000.0,105000.0,114000.0,104700.0,133000.0,136515.0,133900.0,146898.0,90296.0,132252.09,125184.51,136361.71,146440.54,77234.0,134932.81,126448.69,82469.58
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,62.0,245.0,676.0,927.0,902.0,1468.0,1935.0,2132.0,1672.0,2699.0,2710.0,3094.0,3478.99,1619.02,66.0,751.0,1093.0,1097.0,1372.39,1273.59
Yugoslav SFR,6.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,1.0,333.0,38.0,0.0,0.0,46.0,46.0,166.0,108.0,1254.0,932.0,895.0,932.0,817.0,917.0,734.0,599.0,664.0,174.0,181.0,76.0,33.0,16.0,23.0,1.5,0.33,3.12,36.45,5.17,11.09,60.73,48.98
Zimbabwe,11507.0,11304.0,6088.0,8065.0,9688.0,9156.0,11540.0,13057.0,11076.0,15722.0,16915.62,6162.0,18855.0,13355.0,14968.0,4825.0,11532.0,6840.0,5979.0,7874.0,10023.0,11221.0,11540.0,11863.0,12789.9,13959.38,11083.11,13396.11,14228.65,14534.02,12137.9,11569.18
