index,label,review
737,pos,Rated NR(would be Rated R for Pervasive Strong Language and Crude Sexual Humor). Quebec Rating:16+(should be 13+) Canadian Home Video Rating:18A<br /><br />Eddie Murphy Delirious is Eddie's first stand up comedy routine.This came out in 1983.Back then he starred in the movie 48 hrs and Trading Places and he was on Saturday Night Live.Eddie made two stand up comedy films.Delirious and Raw.I preferred Raw because I just found the subject matter to be more humorous.Delirious however is also very funny with Eddie talking about his childhood and making fun of celebrities such as Mr.T and singers such as Michael Jackson.Any fan of stand-up comedy films should see Eddie Murphy's Delirious.
738,neg,"I'll keep this short; thanks to Greg for helping me to put this succinctly: Captivity is about a guy who drugs a girl's drink, imprisons and tortures her, then poses as a captive to have sex with her. That is the single twist and punchline of the film. It's torture as slow motion date rape. And, it's not even a good movie. It's not so bad it's good; it's just bad.<br /><br />It should also be mentioned that among critics, there is a ""spoiler code"" that they dare not break, even though some were tempted to on this one because it is so vile. Why NO ONE had the cojones to step up and say, ""this is garbage, and this is why,"" is beyond me.<br /><br />Don't give your money to these poop-peddlers."
739,pos,"""CASOMAI"" was the last movie I've seen before getting married, just last year. <br /><br />It was also the first movie I've searched for, after I was married, because we promised to offer a copy to our priest.<br /><br />Sometimes, reality is not that apart from fiction. To all those who wrote that priests like ""Don Camillo"" don't exist in real life, I would recommend them to visit my Priest Pe. Nuno Westwood, in Estoril, Portugal :-)<br /><br />To all others, I would only recommend them to see this movie, before and after the ""I do!"" day :-)<br /><br />Rodrigo Ribeiro Portugal"
740,neg,"Movie: There are some very interesting comments on IMDb about this movie. Its truly awful. Not enough money is spent on the movie and the way Spike Lee has made it, it seems like a combination of an indie film and an action flick. Characters/Actors: Denzel has done ""EXACTLY"" what he does in every movie, so no surprise there. Here is a little mind game for the readers. Quickly think of 10 Denzel movies. Now count how many of them were in which he played a cop/detective/body guard, whatever. Clive Owen, hmmmmmm, this guy needs a better role on his plate soon. His best performance was I think in ""Beyond Borders"". Other than that he did pretty much the same thing as he does in every movie as well. His tone and way of talking was very similar to what he did in ""Sin City"". Surely this guy knows acting, what he doesn't know is better way of choosing roles. He is in desperate need of a better agent. Jodie Foster was brilliant in the movie, if you are watching her for the first time in your life. She has done better. She has had better roles. It so happens in Hollywood that even the biggest stars fall down on their knees and pick up low class roles as Jody Foster did in this movie. Plot: Plot was not confusing, in fact, I could think of such a plot, in fact the whole movie, while taking a dump after a nice big Chinese dinner. I mean come on, ****SPOILER ON THE WAY----> I am sick of the un-necessary Haulocast and the Racism token. The movie is about bank robbers, why put the Haulocast and the Racism in there, nice try playing with people's emotions, worked on anyone? NOT ME. Police let the bank robbers go thinking they were hostages? Riiiiiiight, please, we're talking about US police force and security here. Nobody could find out where Clive was, I mean they didn't find anything different with that room. Who're we kidding? Conclusion: Sure, go watch this movie, if nothing, you'll have a nice time talking to you friends how bad the movie was. At least people won't think you're stupid to go watch this movie because they'd think you went to watch it because it has a big star cast ""MISTAKE""."
741,neg,"this movie is made for Asian/Chinese market, targeting particularly fans of Jay Chou, one of the biggest music star in Asian.<br /><br />Jay Chou is a very talented song writer/singer. He is mediocre as an actor, although he did appear in several big-budget productions (""initial D"", ""Curse of the Golden Flower ""). Amazingly, he won both golden horse (taiwan) and Hong Kong film awards for ""initial D"".<br /><br />The supporting cast are very well chosen, which appeals basically everyone from China. The cast including many famous movie/TV actors, singers, even sport commentator (Huang Jianxiang from China). However, they were not given enough time to show their talents.<br /><br />The biggest mistake is that Chu took over both director and writer position. He has a reputation of making shallow and brainless movies based off non-coherent scripts. With his poor directing and lam story, the whole talented cast, fancy vision effects and tones of production money was wasted.<br /><br />However, the terrible movie successfully cashed in over 10 million dollars, maybe even more in Asian, which made this one of the biggest box office success in Asian.<br /><br />The bottom line is: you can watch this movie only if you want to see how money and talents are wasted, or if you are simply accompanying your kids who are fans of Jay Chou."
742,neg,"The only reason I DVRd this movie was because 1. I live in Cleveland and Shaq plays basketball for us now and 2. I've always heard how awful it was. The movie did not disappoint. The best parts were Shaq's outfits. The worst parts were, well, just about everything else. My 12 year old son and I just squirmed and couldn't look at the screen when Shaq started rapping and we kept wondering why Max didn't wish for Kazzam to fix that front tooth of his! But for all it's terribleness we just couldn't stop watching it, the story sucked you in, like a black hole or quicksand or a tar pit, it was hypnotic. But it was worth it for the laughs and just to say that we actually watched ""Kazzam""."
743,neg,This was a really funny movie.<br /><br />Every 1 in the movie was trying to be serious that is what made this movie so funny. I mean come on a shark's head on a human body. Can it get any funnier. Good job Sci-Fi keep the comedy movies coming. I never thought movies could get anymore retarded. If they keep it up they will have to rename the sci fie channel the comedy sci fi channel or something like that.<br /><br />I cant wait 4 the next blockbuster movie from sci fi.<br /><br />Ill be ready with a bowl of popcorn and a case of beer or a bottle of liquor and Ill be ready to laugh it up again!!!
744,pos,"This is like ""Crouching Tiger, Hidden Dragon"" in a more surreal, fantasy setting with incredible special effects and computer generated imagery that would put Industrial Light and Magic to shame. The plot may be hard to follow, but that is the nature of translating Chinese folklore to the screen; certainly the overall story would probably be more familiar to its native audience. However, an intelligent person should be able to keep up; moreover, the martial arts scenes potency are amplified by eye popping CGI."
745,neg,"This movie was worth five punches on my ""hurter card"". I saw this while stationed in Virginia in the mid '70's. I saw it alone so I was not distracted while I watched it. It sucked. It was the most ridiculous, total waste of celluloid I've ever seen.<br /><br />I know that others who have reviewed this movie have thought that it was awesome. I offer you this: if it was so awesome what was it's box office take? End of discussion."
746,pos,"Has anyone been able to buy this movie? My Uncle ""Hutch"" was a Real (not Reel) pilot who is seen tossing his wings in the air and then snatching them with his fist as he was awarded his pilot's wings. <br /><br />He's only on screen a few seconds but my family would love to have the movie. He was killed in a dogfight over Italy, he was only 24 at the time. Do we know the film studio that made it?<br /><br />Or has anyone seen it at a video store, like Blockbuster? I wish they would make entire catalogs of these old movies available as it is so cheap to make DVD's these days.<br /><br />Please email me at nfny40@yahoo.com if you know where I can buy a copy. Thank you."
747,pos,"Sure this movie wasn't like. 16 blocks, inside man, an American haunting. etc...<br /><br />But It was a great mystery that can happen to anyone of us.. i found this movie really great and scary.<br /><br />I live exactly where they filmed this movie ""san pedro, California"" And we have heard true stories based on incidents of this movie.<br /><br />I dunno if you've heard of the famous boat in long beach ""Queen Mary"" Well that boat is haunted. i believe in spirts, illusions, and parallel or however u spell that. is real. everybody's in there own universe.<br /><br />and the mind is a powerful thing.<br /><br />i recommend to watch this movie. it's great, and not bad directing at all.<br /><br />for those who rate it a 1. they don't understand the film. its meaning. its plot, its view. and how bad the ocean life can be for each and everyone of us.<br /><br />Ty.<br /><br />Victor"
748,neg,"Whenever I make up a list of the absolute worst movies I've ever seen, this movie is always on it. It has no redeeming qualities whatsoever. It took an act of will to sit through the whole thing, and I would sooner spill my own blood than have to sit through it again.<br /><br />What's wrong with it? Let me tell you the story of my trip to go see it in the theater.<br /><br />I went to a midnight show, on a Saturday night. I the only ones in the theater were myself, and a bunch of loud, boisterous, rather unruly teenagers, sitting somewhere behind me. They were obviously out having a good time on a Saturday night, and had come to this ""comedy"" for some laughs. Before the movie starts, during the previews, they were laughing and joking and making loud comments having a grand old time. It was borderline annoying; had they continued their unbridled enthusiasm into the actual movie, I might've said something, but I was feeling tolerant and empathetic of their spirited fun, so I let it go. And they did settle down once the movie started.<br /><br />Why am I telling you all this? Because you can judge this alleged ""comedy"" by the effect it had not just on myself, but on this rowdy bunch.<br /><br />During the entire run of the film, not one person in the theater laughed. Not once. Not myself, not the boisterous kids. Absolute silence, aside from the soundtrack. And when the film was over and the lights came on, we all, all of us, slowly filed out of the theater in slow, somber, absolute silence. It could've been a funeral.<br /><br />This was the effect that this ""comedy"" produced. Not laughter, not enjoyment, but absolute DEPRESSION. It was a depressing, depressing movie, and not the tiniest bit funny. Preachy, self-indulgent, depressing, but not funny.<br /><br />I consider Mel Brooks' ""Blazing Saddles"" to be on the short list for Funniest Movie Ever. It still absolutely blows my mind that the same gentleman could be responsible for quite probably the Least Funny Movie Ever.<br /><br />In short: if you're feeling too happy, give this movie a whirl; otherwise, don't say I didn't warn you."
749,neg,"Invasion of the Star Creatures would definitely be in the ""so bad it's good"" category if the film wasn't quite so sexist or racist. That it is such just makes it plain bad.<br /><br />It has the same kind of hardline stereotypical sexism that you saw in Queen of Outer Space, and the kind of racist stereotypes (in this instance, Native Americans) that you would normally find in thirties & forties b-westerns. In terms of being non-funny, the same walking-through-the-cave gag is repeated well over ten times during the course of this fairly short movie. Ray does do one good impression of Jimmy Cagney (but can't make it work for two impressions of Cagney in a row, nor handle a Peter Lorre when he tries it). There really aren't any production values to speak of, as the ""Star Creatures"" make the Ro-Man from Robot Monster or Tor Johnson in Plan 9 from Outer Space look like creations of Industrial Light and Magic.<br /><br />This film was definitely one of a vanguard of what you would have to call early independent cinema...not artsy enough for those theaters and not good enough for anything but the last feature of an all-night drive-in.<br /><br />"
750,pos,"Cannot believe my eyes when read quite a bunch of other comments and reviews. As if it were a mediocre movie of some run-of-the-mill dudes.<br /><br />The movie is great, funny, crazy, over-the-top violent though with minimum gore, and all the way energetic to the core. Loved every single bit of it. Can't remember anything insane like this made for laughs and martial art showing off. And now the most important thing (at least to me): it is computer effects free. When I watch some Hollywood actors duking it out on screen in modern high-resolution and damn high-budgeted action ""fuflo"" (a Russian word that means ""bull*beep*""), I understand that any *beep* child can do it - you can adjust the wires to the body, add some cute PC effects, and stuff it into the action film. Here it is different. I don't think that there will be even a dozen of physically advanced action stars worldwide, who can repeat the brawl that takes place at the end of the film or the ""Chinese football"" play. And it is just a little Hong Kong cinema made for fun, not pretending to be ""Star Wars"".<br /><br />Having a DVD with English soundtrack is not a problem with this movie. It does not spoil the atmosphere to me.<br /><br />Can't help mentioning a very neat theatrical play. Some of you, suppose, won't like it. As to me - it's amazing. Have a look at the Dragon's friend who is talking in a brave manner to the criminals and all of a sudden gets a fist punch in his left side of the head. His face expression changes into something whimsical and he comes up to Dragon with a baby expression. And take a look at the menacing size of his mouth - it's nearly from one ear to the other long when he makes grimaces.<br /><br />This movie deserves a higher rating and a thousand comments from people all over the world. Very thankful to our Russian industry for the releases of classic Jackie Chan movies. His modern ones are much weaker in my humble opinion and do not deserve much hype.<br /><br />Total 10 out of 10 - a legendary movie in its genre. Thank you for attention."
751,pos,Touching; Well directed autobiography of a talented young director/producer. A love story with Rabin's assassination in the background. Worth seeing !<br /><br />
752,pos,"I consider this movie a masterpiece, but it took me at least 4 o 5 times to see it, so as to realize what a great movie it was. First, it describes a face of WW2 that we don't usually see in Hollywood movies. In particular, German soldiers, army and the Nazi government are shown more ""humanized"". One of the facts that impressed me most was the mention, by the end of the movie, of a murder that took place in a forest in the last 20's... that forest is the place where the final chapters of Berlin Alexanderplatz take place: those are the woods where Reinhold kills Mieze. Another clue for those who like the details, is the representation of doors. Fassbinder is obsessed with the changes in people each time they walk across a door, or a door is opened. Many doors are shown in the screen, opened and closed. And the characters change in their personality, their acts, etc any time that happens. Have you noticed that?"
753,neg,"This film is mediocre at best. Angie Harmon is as funny as a bag of hammers. Her bitchy demeanor from ""Law and Order"" carries over in a failed attempt at comedy. Charlie Sheen is the only one to come out unscathed in this horrible anti-comedy. The only positive thing to come out of this mess is Charlie and Denise's marriage. Hopefully that effort produces better results."
754,pos,"Walter Matthau and George Burns were a famous vaudeville comedy act, Lewis and Clark, who haven't spoken in over 10 years. Burns retired and Matthau took it personally and has held a grudge ever since. Such is the premise of this hilarious Neil Simon play made into a movie. Of course, what makes it so good is Matthau and Burns in their prime, and the material is funnier than anything you can find today. Richard Benjamin shines as Matthau's nephew and agent. There's even old clips of actual stars of the golden era to get you into the groove of the film, and character actor Fritz Feld starts it all off with a ""pop."" Rosetta LaNoire, who started out in the 30s in theater with Orson Welles and later was Grandma on ""Family Matters,"" is great in a small role.<br /><br />The only problem I had with it (and maybe I'm being too picky and/or serious) is the way Matthau treats Burns when they first meet. Granted, he's had a lot of resentment festering in all these years, but some of the things he does would be considered rude or just plain bad manners taken out of context. Also, I'm used to seeing Matthau act that way in other movies, but not to George Burns. And, Matthau's bellowing tends to get a little old. <br /><br />All in all, if you need a consistently funny film to help and forget your troubles, put in ""The Sunshine Boys."" They'll lift your spirits and make you think of a simpler time and way of life.<br /><br />Benjamin: ""You have to slide it."" <br /><br />Matthau: ""Wait, wait. I think you have to slide it."""
755,neg,"The ""documentary"", and we use that term loosely apparently, summarizes that Muslims are trying to violently take over the world. Then states that any Muslim that doesn't admit this is either ignorant of their own faith or lying to your face! Also every person that is interviewed in the film has found a market for their ludicrous take on reality by selling claptrap to conservatives willing to let others do the thinking for them. What the West NEEDS to know is this is nothing more than propaganda aimed at mental midgets. If you are looking for an actual documentary on Islam and the current state of the Middle-East I would look elsewhere. Try something that provides multiple points of view from qualified sources."
756,neg,"I'm in Iraq right now doing a job that gives plenty of time for watching movies. We also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst I've seen in a long time. I've seen a few other reviews that claim this movie doesn't take itself too seriously, but really, I think that's a cover up for the fact that its horrible. It's not tongue in cheek, the writers really thought they were improving on the movie Blade. This movie is just one notch above Vampire Assassin, which if you haven't seen, i recommend. At least that movie is so unbelievably bad that you'll laugh harder than you thought possible. This is right at that cusp of no redeeming qualities what so ever. from the bad acting, to cliché visual (ie opening credits), to the adobe premier special effects. they couldn't even get blanks for the guns, which may have to do with where the movie was filmed, but if you're going to use effects, make them close to accurate. as for the cast, it seems like they just went to a tae bo class and picked up the first not to ugly chick that walked out. Once again, like Ron Hall in Vampire Assassin, don't let stunt folk act, they can't. Also, the comment about this being a ""return of old vampire movies""...no, it's not. This is exactly what all new vampire movies are about. Buffy the Vampire Slayer, Blade, Underworld, they're all about some super star fighting the vampires. This is the newest vampire genre, with bad blood, fake screams, and cheesy over acting. obviously anyone who wrote a good review about this is somehow connected to the movie, or friends of the cast. But what do I care, I paid 33 cents for it. Anyway, to wrap this up, someone in their first semester of film school decided to make a movie, I give them credit because it's better than I could do. Of course I also know I can't make movies so I don't try. I do know how to watch movies though. I work 12 hour nights, 6 days a week, I've seen several thousand in the year I've been out here and this was so bad that half way through i was hoping for a mortar attack."
757,neg,"There was a genie played by Shaq His name was Kazaam, and he was whack His rhymes were corny, this lines were bad some stupid kid cryin over his stupid dad bad actin, bad casting, bad special effects whats next? this movie sucks Prolly didn't make 20 bucks he lives in a boombox not a lamp hurts like a cramp like a wet food stamp...<br /><br />Yeah, you get it, a stupid rhyming genie who can't act, in a stupid movie with horrible special effects. Oh, and its confusing as hell. I'm not even gonna go on. Let's just say, it belongs in the ""its so bad, its funny"" category. Watch it once with your buddies and get a good laugh. But don't expect anything spectacular."
758,neg,"I went to go see this at the Esquire Theatre in Cincy, OH, and - I hate my life now.<br /><br />Christopher Reeves would have been a more believable boxer.<br /><br />As a film it was painful, but seeing Bret Carr in person was to see desperation at its pinnacle.<br /><br />My favorite part of the movie was seeing BC slammed in the face with what appeared to be a ""C"" battery. The jury is still out on this. It was from a dildo and it was in slow-mo. Yep.<br /><br />""Shoot the left side of the face only...people become famous by demanding things!"" - Bret Carr B. Carr donned a Chicken Suit for a bit of reverse psychology, roaming the streets of Clifton bashing his own film. He should. This is correct to bash the film.<br /><br />My soul felt chafed after this movie.<br /><br />Bret Carr is not charismatic enough to be the leader of a cult, or smart enough for that matter. That is the feeling you get from the What the Bleepesque trickle of brainwashed, impressionable neo-yuppies that came to see this Bret Carr Piece of Work.<br /><br />It's an emotionally draining experience just thinking about writing about this film, so goodbye.<br /><br />-Anonymous"
759,neg,"This movie should not be viewed unless you are trying to kill yourself. I think this movie could actually cause severe brain damage. The main characters are the whiny non-hero Kevin, Amy, his bratty, ungodly conservative girlfriend, Kyle, a dork in red shorts who enjoys phone sex, Daphne, a scrawny, horny girl who is supposed to be ""cool"" and has no sense of how to dress, and her oversexed boyfriend Nick, an army recruit who can make an innuendo out of anything. No, I'm not a pervert, that's REALLY how the movie goes. The movie itself is an over-sexed rip-off of 1986's Gremlins, only you'll never find a trace of Gizmo anywhere. No, these Hobgoblins, unleashed by Wimpy Man (I'm sorry, Kevin), make someone's wildest dreams come true, and then kill the victims. Yes, you guessed it-Eventually, they wind up in a strip club, where the nerdy Amy's greatest dream is revealed-She wants to be a stripper! Look, I watched this flick via MST3K, and even with Mike Nelson, Tom Servo, and Crow T. Robot making a laughing-stock out of this cinematic trainwreck and it still made me bleed from both eyes. Not really, but I wish I had. I'm not giving you anymore plot, because reliving it gives me this great urge to drive a pitchfork through my brain. Besides, it's not like there's a plot worth mentioning. They should put a Surgeon's General Warning on this film."
760,neg,"What were they thinking at ""Cannes""? One of the most irritating, films of all time. Every detail of this film, no matter how meaningless was shown. If I had to watch her put on those boots one more time I think I would have shouted. If the point of this film was to show how pathetic a life Rosetta had, then it was covered within the first fifteen minutes of the movie and then the credits should have been running. But no, we had to see countless redundant scenes over and over. The whole thing was filled with un-likeable and unsympathetic characters. They deserved the misery that was Rosetta. And to think I passed up ""Tumbleweeds"" to see this over-hyped film of boredom. It was like watching grass grow, only that is more exciting."
761,neg,"What happens when you give a free man just enough money to trap him into the rat race and watch him squirm? Homeless people answer to no one. They have no mortgages, rent payments or idiot bosses. Homeless people don't have to worry about the IRS or performance reviews or credit card payments. But, give them just enough money to rent an apartment and buy a car and, suddenly, they have to worry about entering the rat race, buying gas for transportation, paying insurance on their car, and working for someone else. They get a chance to be a ""productive citizens."" This film was about as exploitive as a film can be. It's a way for the rich and middle-class sheeple to say ""see what happens when you try to help the poor?"" and it vindicates capitalistic arrogance.<br /><br />Why not a film that asks, ""What happens when you take away everything a rich man has?"""
762,pos,"I've only watched the first series on DVD, but would summarise The Sopranos as a Shakespearean plot with a Tarantino-like script. The series is as good as Goodfellas and Casino, and almost as good as The Godfather (hence not a ""10""), and far better than any of Guy Ritchie's efforts. Although there's plenty of action, some of it pretty bloody, the story is character driven. Even some of the minor characters contribute to great story lines; e.g. the priest's relationship (or lack of) with Carmilla and the restaurateur's wife, and Christopher and his dimwit friend (who didn't last very long (a Darwin Award nominee?))<br /><br />Apart from the plot, the script and the acting, the other reasons I liked it;<br /><br />1. It made me want to visit New Jersey and eat pasta with a tomatoey sauce. 2. The music. 3. It shows that literally anyone can suffer from mental health problems."
763,pos,"""The Woman in Black"" is easily one of the creepiest British ghost stories ever made.A young solicitor,after arriving in a small town to handle a dead client's estate,is haunted by a mysterious woman dressed all in black.The film is loaded with extremely eerie atmosphere and the frights are calculated for and deliver the maximum effect possible.The action keeps the viewer deeply involved and the finale is quite disturbing.The acting is excellent and the tension is almost unbearable at times.So if you want to see a truly creepy horror film give this one a look.I dare anyone to watch ""The Woman in Black"" alone at night with the lights off.Highly recommended.10 out of 10."
764,pos,"This is simply the epitome of what a made for TV movie should be. It was a lazy Sunday afternoon when my wife and I were in grad school that we stumbled upon this. The cheesy acting. The poorly written script. The good ol' boys. The ridiculous, yet somehow obvious, cliché, and banal premise. The riding in pickup trucks with your propped-up wife-corpse. It has it all.<br /><br />You will meet familiar characters: gold-digging hussy, stupid rich boy who wants to make it on his own, friends-who-know-better, Daddy who knows better but drives son away. And the wife-corpse. Propped up. In a pick-up. <br /><br />Wow: and the title. Several things in our lives have been ""Texas Tragedies"" since watching this beauty. Everyone involved in its creation deserves a medal."
765,pos,"As a ""rebuttle"" of sorts to the AFI's top 100 films, the British Film Institute worked out a documentary with Martin Scorsese.<br /><br />Now. I am a huge film fan and pride myself on having seen many, many films. But, I am nowheres in comparrison with my idol. In this fantastic (though long) documentary, Scorsese walks the viewer through several stages of the American History on film. This is divided in to several sections including the Western, the Gangster film and the Noir. Full of bouncy enthusiasm, Martin Scorsese is a great tour guide as well as a fantastic professor."
766,pos,"""The Garden of Allah"" was one of the first feature length, 3-strip Technicolor films. To correct a previous poster the first Technicolor feature (after Disney's 5-year exclusivity deal) was 1935's ""Becky Sharp"" which was a costume drama that used the color for it's garish color costumes.<br /><br />""The Garden of Allah"" looks as if it could have been shot years later as the cinematography uses not only the color but also the use of shadows. It must have been amazing for an audiences at the time to see a color feature after seeing basically only black and white films for their whole life. Unfortunately, the film does not stand up to the cinematography. That being said, the film is worth seeing just as a visual treat."
767,pos,"Everyday we can watch a great number of film, soap... on tv. Sometimes a miracle happens. A great film, with real feelings, with great actors, with a great realisator-director. For me there are two films that everyone needs to see : the first is the Pacula ? ""Sophie 's choice"" with Meryl Streep. The second is ""Journey of Hope"". As human beings, we need to learn about humility, about love of the others, about acceptation of other civilisation, other way of living. We also have to struggle against racism and fascim. We must avoid judging, criticize; we only have to love our earth companion. This wonderful film, helps us reaching John (Lennon) his dream : Imagine all the people living live in peace. These two films are difficult to see : watch these, but sure you will be hurt, but better. Great film, great actors, terrible story, pain and cry guarantee, but also better understanding of the others. Enjoy it."
768,neg,Me and my friend rented this movie for $2.50. And we both agree on one thing:<br /><br />THIS IS THE WORST MOVIE EVER MADE!<br /><br />Also me and my friend counted 475 face shots. (Which makes up 95% of the movie).<br /><br />So in other words: DO SEE THIS MOVIE UNLESS YOU LIKE WASTING MONEY! And I do!<br /><br />
769,neg,"About three minutes into this thing I started fast-forwarding, pausing only during the nudity (why is it that bad movies always include such good looking women?). In ten minutes I was done, and wishing I could get my money back from the rental store. The people who write these movies should be sanctioned by the MPAA. Come on writers - the bad guys ALWAYS get into the car with the bomb activated by the good guy's remote control! That's the way its been done since the days of the Ottoman Empire! Also, to add insult to injury, the ""twist"" at the end was so formulaic, that it could have come from any action movie written in the past 25 years. Burt Reynolds was fine, but he should concentrate on real movies.<br /><br />This movie is just a waste of time - Run away! Run away!"
770,neg,"Don't even ask me why I watched this! The only excuse I can come up with that I was sick with Bronchitis and too weak to change the channel. :) It's too terrible for words, the movie that is, not the Bronchitis. The acting is deplorable, Richard Grieco hams it up as a trigger-happy, gun-slinging serial killer with a penchant for knocking off cops. Nick Mancuso phones in a performance as the cop on his trail and Nancy Allen manages to put in the only sympathetic role in the entire film. The script is dismal, peppered with clichéd lines, ""Are you ready, Pardner?"" purrs Richard Grieco to every single one of his victims. Dire. Avoid."
771,pos,"Any story comprises a premise, characters and conflict. Characters plotting their own play promises triumph, and a militant character readily lends oneself to this. Ardh Satya's premise is summarized by the poem of the same name scripted by Dilip Chitre. The line goes - ""ek palde mein napunsaktha, doosre palde mein paurush, aur teek tarazu ke kaante par, ardh satya ?"". A rough translation - ""The delicate balance of right & wrong ( commonly seen on the busts of blind justice in the courts ) has powerlessness on one plate and prowess on another. Is the needle on the center a half-truth ? ""<br /><br />The poem is recited midway in the film by Smita Patil to Om Puri at a resturant. It makes a deep impact on the protagonist & lays the foundation for much of the later events that follow. At the end of the film, Om Puri ends up in exactly the same situation described so aptly in the poem.<br /><br />The film tries mighty hard to do a one-up on the poem. However, Chitre's words are too powerful, and at best, the film matches up to the poem in every aspect.<br /><br />"
772,neg,"I have been a fervent Hal Hartley supporter since I saw his short ""Surviving Desire"" in high school, and even then was still completely unmoored by his searingly brilliant ""Henry Fool."" But this 10-year-later sequel is not only unnecessary, it's disgraceful.<br /><br />After a choppy and expeditious start, ""Fay Grim"" devolves into pseudo-intellectualism, flat out boredom, and finally unwarranted - and unwanted - nihilism. And that's just the plot.<br /><br />The majority of the new faces are as frivolous and poorly-developed as the movie: one particularly flat character ends up hogging half the time we spend with the infamous Henry Fool himself, and it's his only spoken scene in the film!<br /><br />Jeff Goldblum's Agent Fulbright, it seems, is the only bright character (a pun surely intended by Hartley as well). How, then, is he left? **SPOILER** Dead via a car bombing, easily making this the gentle-natured Hartley's most violent film to date, and tonally all wrong in a film that's already all wrong from the word go.<br /><br />As for the other new characters, Angus James, Ned Fool (or is it Grim?), not to mention Fay herself... well, I won't spoil their fates, as the movie does a good enough job of that all on its own (when it isn't busying itself with yet another godawful canted angle, which gives the disconcerting impression that Hartley is moving backwards from Auteur to crappy film student).<br /><br />This piece is a complete disaster, a dreadful mess that isn't even good-humored enough to revel in its messiness. Instead it self-indulgently crams the typically fun hipster pretenses of its director into the ""real world"", one uglier and meaner than it need be but not nearly ugly or mean enough to come close to having anything to say. In doing so, Hartley tracks sh*t all over my memories of these people and the marvelous world he originally created for them.<br /><br />I have rarely been so depressed at the movies, and I'm counting ""Leaving Las Vegas,"" which at least developed fresh new characters we grew to love before destroying them, instead of immediately disregarding characters already beloved.<br /><br />Grim, indeed."
773,pos,"What happens when someone has so much social anxiety that they cease to function? How alone can one man get? When the mundane crap we have to do in order to be part of society gets to be too much, what happens? Frownland explores these questions. Definitely a startling original debut from Bronstein. The tone is strange and claustrophobic as we get inside the mind of a guy named Keith that is so messed up he can hardly form a proper sentence. We follow him around as he tries to make contact with people and function day to day. Most of us have known people like this- people that say ""sorry"" too much or ""i appreciate it"" when there's nothing to appreciate. So we know there are people out there like this but why would someone want to make a movie about them? Well, because its interesting and Bronstein and the lead actor, Dore Mann, do an excellent job. This film is about as un-commercial as a film can get. A few friends filmed it over the course of a few years as they saved money. It was shot on 16mm and the scratched film look is beautifully low budget. With no distributer, this may be a tough one to find, I think it's been screening randomly for the past year or so. Hopefully it'll be on DVD at some point. I saw it at the Silent Movie Theater here in LA. There were 10 people in the audience, among them Crispin Glover, if that tells you anything about how weird this movie is. Highly recommended."
774,neg,"It's easy to see how this below-average screenplay got by in the early sales-pitch meetings at Regency Films (and later with Fox): cross the superhero genre with a comedic take on ""Fatal Attraction""...voilà! I don't know how on earth a talented director like Ivan Reitman got involved, unless the pay was just too tempting. A dateless employee at an architectural design firm in N.Y.C. meets a girl on the subway and asks her out; despite the fact she's distracted and unpleasant, he eventually gets her into bed--only to find out later she's the Big Apple's resident superhero, G-Girl. This distaff Superman, with powers bestowed upon her by a fallen meteorite, isn't a fantasy heroine, however...screenwriter Don Payne has conceived her as a needy, possessive, vindictive bitch (he telegraphs this to us from miles away, though Uma Thurman still plays the role for sassy laughs). This is the kind of worthless movie that can't let an insult slip by. Our introduction to leading man Luke Wilson, talking with Rainn Wilson on the train, is accompanied by a sour dig at gays (it prods at us to be assured these two buddies are strictly ladies' men). After being approached by G-Girl's nemesis, who wants to zap her powers, Wilson is told this will make her just an ordinary woman scorned...and isn't that better after all? Thurman's early performances in films like ""Henry & June"" and ""Jennifer 8"" showcased an intelligent woman with angular grace and hypnotic poise; her films with Quentin Tarantino helped expose her sinewy hardness and intensity, but that came at a price (the actress has seemingly lost her graceful touch). The picture is exceedingly well-produced and shot, with expensive-seeming special effects, yet nobody bothered to find the humor in this scenario. It's pushy, leering, ugly, and badly-cast. Bloated, frozen-faced Wilson can't tell any of his co-workers that he's dating G-Girl because she made him swear he'd rather have a chainsaw stuck up his rectum. I wonder if writer Payne actually thought that was hilarious...or, indeed, if anyone involved did? * from ****"
775,pos,hi for all the people who have seen this wonderful movie im sure thet you would have liked it as much as i. i love the songs once you have seen the show you can sing along as though you are part of the show singing and dancing . dancing and singing. the song ONE is an all time fave musical song too and the strutters at the end with the mirror its so oh you have to watch this one
776,neg,"I couldn't watch more than 14 minutes of it. It's a GREAT combination of really bad acting and really bad directing. The shots used are disgusting, they broke the 180 degrees angle all the time. My head hurts try to watch that load of ""you know what"". Dirt on the ""mystery machine"" window make you see light from the lighting on the windows...annoying. What else... it's so badly framed all the time it's just make you want to scream at that lady directing there. I only directed short films, but I'm pretty sure I'd be way better than that directing a feature film.... the story is unbelievable, just the long french kissing scene at the beginning tell you that it's gonna be pretty awful. So pretty much, try to avoid this really bad movies at all cost, it'll save you the 5 bucks or so for the rental, and that 1h30 hour of your life you'll never get back..."
