Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Running Time (Minutes),Directed by,Written by,Original Air Date,U.S. Viewers (Millions),Music by,Cinematography by,Editing by,IMDb Rating,Rotten Tomatoes Rating (Percentage),Metacritic Ratings,Ordered,Filming Duration,Novel(s) Adapted,Synopsis
3,6,26,The Climb,53,Alik Sakharov,"David Benioff, D. B. Weiss",5-May-2013,5.5,Ramin Djawadi,David Katznelson,Oral Norrie Ottey,8.7,83,8.7,"April 10, 2012",July–November 2012,A Storm of Swords,"In King's Landing, Tywin coerces Olenna into an agreement to marry Cersei to Loras. Cersei admits to Tyrion that Joffrey tried to have him killed during the siege. Tyrion informs Shae and Sansa about his and Sansa's betrothal. Littlefinger tells Varys that he discovered Ros was Varys' informant and that Joffrey killed her. In the Riverlands, Melisandre buys Gendry from the Brotherhood, and foretells Arya that she will kill many people with brown eyes, green eyes, and blue eyes; she promises they will meet again. Having married Talisa, Robb strikes a new agreement with Walder Frey by giving him Harrenhal and having his uncle, Edmure Tully, marry a Frey daughter or granddaughter. Roose Bolton plans to send Jaime to King's Landing, but refuses to allow Brienne to accompany him. At an unknown location, the mysterious man continues torturing Theon. In the North, tension arises between Osha and Meera. Beyond the Wall, Sam continues his flight with Gilly, while Jon and Ygritte scale the Wall with two other Wildlings."
3,7,27,The Bear and the Maiden Fair,57,Michelle MacLaren,George R. R. Martin,12-May-2013,4.84,Ramin Djawadi,Chris Seager,Frances Parker,8.6,78,8.5,"April 10, 2012",July–November 2012,A Storm of Swords,"In the North, Jojen tells Bran they must not stop at Castle Black, but travel beyond the Wall to find the Three-eyed Raven; Osha warns them about the White Walkers. Jon and Ygritte's relationship deepens, angering jealous Wildling, Orell. Theon's torturer castrates him. Robb learns Talisa is pregnant. Arya escapes the Brotherhood, only to be captured by Sandor. Melisandre tells Gendry that his father was King Robert. Shae warns Tyrion that their relationship will end once he marries Sansa. Tywin and Joffrey discuss Daenerys; Tywin dismisses her as a potential threat. Daenerys reaches Yunkai and declares war on the city. Roose Bolton leaves Harrenhal for Edmure Tully's wedding while Jaime bids Brienne farewell as he departs for King's Landing. On the road, Jaime learns Locke has refused Brienne's father's ransom. He returns to Harrenhal to find Brienne in a pit fighting a bear. He saves her and they depart to King's Landing together."
3,8,28,Second Sons,56,Michelle MacLaren,"David Benioff, D. B. Weiss",19-May-2013,5.13,Ramin Djawadi,Chris Seager,Frances Parker,8.9,97,9.1,"April 10, 2012",July–November 2012,A Storm of Swords,"King's Landing hosts Tyrion and Sansa's wedding. Cersei shows her displeasure toward Margaery and Loras. At the wedding feast, Tyrion causes a drunken scene. Tywin demands that Tyrion quickly produce a Lannister heir, but Tyrion later assures Sansa their marriage will never be consummated without her consent. Sandor tells Arya they are heading for the Twins to ransom her to Robb. Stannis releases Davos, demanding he respect Melisandre. She arrives in Dragonstone with Gendry, whom she seduces to extract his blood using leeches. In a magical ritual, Stannis casts the blood-filled leeches into a fire while naming three usurpers: Robb Stark, Balon Greyjoy, and King Joffrey. Daenerys learns that Yunkai has employed mercenaries called the ""Second Sons"". One of their handsome lieutenants, Daario Naharis, kills the other leaders and pledges the company's loyalty to Daenerys. Sam and Gilly are attacked by a White Walker, which Sam destroys with a dragonglass dagger."
3,9,29,The Rains of Castamere,50,David Nutter,"David Benioff, D. B. Weiss",2-Jun-2013,5.22,Ramin Djawadi,Robert McLachlan,Oral Norrie Ottey,9.9,100,9.7,"April 10, 2012",July–November 2012,A Storm of Swords,"Sam, Gilly, and her son arrive at the Wall. While hiding in a tower during a thunderstorm, Bran enters Hodor's mind to prevent his revealing their hiding place to Wildlings below with his laments. Nearby, Jon refuses to murder a farmer, whom Ygritte kills; Jon is attacked by the other Wildlings but escapes. Bran uses his warg ability to save Jon, who kills Orell before escaping, leaving a furious Ygritte behind with chief Tormund. Osha, Rickon, and his direwolf, Shaggydog, depart for the Last Hearth, while Bran, Meera, Jojen, Hodor and Bran's direwolf, Summer, plan to go beyond the Wall. Daenerys sends Jorah, Naharis, and Grey Worm to infiltrate Yunkai and open the city gate for her army. Yunkai slaves willingly surrender to her forces. Robb arrives at the Twins and apologizes to Walder for reneging on his agreement to marry a Frey daughter. Walder appears to accept his apology while Edmure marries Roslin Frey, Walder's sole pretty granddaughter. After the newlyweds leave the feast, Walder's men murder Catelyn, Talisa and the Stark bannermen, while Roose Bolton, now a Lannister loyalist, kills Robb. Ser Brynden Tully, Catelyn's uncle, survives, having excused himself from the feast just prior to the slaughter. The Hound and Arya arrive at the Twins during the massacre, but the Hound carries her to safety."
3,10,30,Mhysa,62,David Nutter,"David Benioff, D. B. Weiss",9-Jun-2013,5.39,Ramin Djawadi,Robert McLachlan,Oral Norrie Ottey,9,100,8.5,"April 10, 2012",July–November 2012,A Storm of Swords,"The massacre's mastermind is revealed to be Tywin Lannister, who rewards House Frey with the Seat of Riverrun and appoints Roose Bolton as Warden of the North. Theon learns his men surrendered him in return for safe passage from Winterfell and that his captor is Ramsay Snow, Bolton's bastard son. Against Balon's wishes, Yara leads a mission to rescue Theon. Arya and the Hound kill some Frey soldiers mocking Robb's death. Jaime and Brienne arrive in King's Landing where Jamie is reunited with Cersei. Sam and Gilly encounter Bran's party and, unable to prevent them traveling beyond the wall, Sam gives them dragonglass weapons. Sam returns to Castle Black with Gilly. Maester Aemon has Sam send ravens to alert the Seven Kingdoms about the White Walkers. Ygritte finds Jon and shoots him with three arrows, deliberately only wounding him. He escapes, returning to Castle Black. In Dragonstone, Davos helps Gendry escape to prevent his being sacrificed; Stannis forgives Davos, then heads north to aid the Watch against the White Walker threat. In Essos, the freed Yunkai slaves receive Daenerys as their ""mother""."
4,1,31,Two Swords,58,D. B. Weiss,"David Benioff, D. B. Weiss",6-Apr-2014,6.64,Ramin Djawadi,Jonathan Freeman,Katie Weiland,9,95,9.1,"April 2, 2013",July–November 2013,A Storm of Swords,"Tywin oversees the reforging of Ice, House Stark's ancestral Valyrian steel sword, into two new ones. One is for Jaime, who grieves the loss of his sword hand and Cersei's love, and the other is a wedding present for King Joffrey, which Joffrey names Widow's Wail. Prince Oberyn Martell, representing his infirmed brother, Prince Doran of Dorne, arrives in King's Landing to attend the royal wedding. He and his paramour, Ellaria Sand, are greeted by Tyrion. Oberyn secretly seeks revenge against the Lannisters and Gregor Clegane for the rape and murder of his sister, Elia, wife of the unfaithful Prince Rhaegar Targaryen. In the North, Styr and the cannibalistic Thenns reinforce Tormund, Ygritte and the other Wildlings. Maester Aemon absolves Jon after he explains his actions while with the Wildlings and reveals that their army of 100,000 plans to attack Castle Black. In the Riverlands, the Hound and Arya head to the Eyrie where the Hound intends to ransom Arya to her Aunt Lysa, Jon Arryn's widow. Along the way, Arya reclaims her sword, Needle, from Polliver, killing him. In Essos, Daenerys marches her army towards Meereen, the last of the three great slave cities; she fears she is losing control over her growing dragons, now horse-sized."
4,2,32,The Lion and the Rose,52,Alex Graves,George R. R. Martin,13-Apr-2014,6.31,Ramin Djawadi,Anette Haellmigk,Katie Weiland,9.7,100,9.4,"April 2, 2013",July–November 2013,A Storm of Swords,"Roose Bolton returns to the Dreadfort with his bride, one of Walder Frey's daughters. He chastises Ramsay for torturing and castrating Theon, devaluing him as a hostage. Theon, who has degenerated into a subservient persona called 'Reek', discloses that Bran and Rickon Stark are alive and threaten Roose's legitimacy as Warden of the North. Roose orders Ramsay to reclaim the territories under Ironborn occupation, promising a reward if he succeeds. In Dragonstone, Melisandre sacrifices three people, including Stannis' brother-in-law, burning them to death as a tribute to the Lord of Light, delighting Queen Selyse and disgusting Ser Davos and Princess Shireen. To protect Shae from his family, Tyrion arranges to send her to Pentos on Essos, leaving her distressed. Bronn coaches Jaime in left-handed swordplay. King Joffrey and Margaery Tyrell are wed. During the Royal Wedding feast, Joffrey humiliates Tyrion and taunts Sansa just before Joffrey fatally succumbs to poisoned wine. A distraught Cersei has Tyrion arrested for his murder, while Ser Dontos, a former knight, persuades Sansa to leave the feast with him for her protection."
4,3,33,Breaker of Chains,56,Alex Graves,"David Benioff, D. B. Weiss",20-Apr-2014,6.59,Ramin Djawadi,Anette Haellmigk,Katie Weiland,8.7,96,7.9,"April 2, 2013",July–November 2013,A Storm of Swords,"Tywin grooms his young grandson Tommen to be the new king and enlists Oberyn and Mace Tyrell as his fellow judges for Tyrion's impending murder trial. Tyrion chooses Jaime as his witness. Littlefinger, who hired Ser Dontos to retrieve Sansa, has him killed, then smuggles her out of King's Landing aboard his ship. In the Riverlands, Arya and the Hound are offered hospitality by a peasant farmer and his daughter, whom the Hound soon robs, angering Arya. To replenish Stannis' depleted forces, Davos wants to request a loan from the Iron Bank of Braavos to hire mercenaries called the ""Golden Company"". At Castle Black, Sam fears for Gilly's safety and moves her and Little Sam to nearby Mole's Town. Meanwhile, the Wildlings continue to raid northern villages. The Night's Watch learns that the mutineers are camped at Craster's Keep. Jon proposes an attack on them to prevent them leaking Castle Black's defense weaknesses to Mance Rayder's approaching army. Daenerys arrives at Meereen and gives a rousing speech before the gates, offering the city's slaves their freedom."
4,4,34,Oathkeeper,55,Michelle MacLaren,Bryan Cogman,27-Apr-2014,6.95,Ramin Djawadi,Robert McLachlan,Crispin Green,8.7,96,9,"April 2, 2013",July–November 2013,A Storm of Swords,"Daenerys easily captures Meereen, assisted by a slave revolt. Seeking justice for 163 slain slave children, she nails 163 masters to the same road posts. At sea, Littlefinger reveals his complicity in Joffrey's death to Sansa. Before leaving King's Landing, Olenna implies to Margaery that she poisoned Joffrey. She urges Margaery to marry Tommen before Cersei can turn him against her. Jaime believes Tyrion is innocent, but Cersei is adamant he is guilty and also orders Jaime to locate and kill Sansa as an accomplice. Jaime instead sends Brienne to find and protect Sansa, presenting her with new armor, his Valyrian sword, horses and Podrick Payne as her squire. In the North, hoping to eliminate Jon, Alliser Thorne and Janos Slynt agree to allow Jon to lead the expedition against the mutineers. Unknown to Jon, the mutineers have captured Bran and his companions. Further north, a White Walker takes Craster's last newborn son to a secret ritual site where he is transformed into a Walker."
4,5,35,First of His Name,53,Michelle MacLaren,"David Benioff, D. B. Weiss",4-May-2014,7.16,Ramin Djawadi,Robert McLachlan,Crispin Green,8.6,98,8.9,"April 2, 2013",July–November 2013,A Storm of Swords,"Tommen is crowned king; Cersei surprises Margaery by encouraging her to marry Tommen. Tywin asks Oberyn to be a judge at Tyrion's trial and swears his innocence in Elia's rape and murder. In the Vale, Littlefinger takes Sansa to the Eyrie where she is reunited with her aunt, Lysa Arryn, who pressures Littlefinger to marry her immediately. It is revealed that Lysa and Littlefinger killed Jon Arryn and framed the Lannisters. Lysa plans for Sansa to marry her son, Robin, an emotionally immature prepubescent boy. The Hound mocks Arya practicing her water dancing and disparages Syrios Forell's fighting style. Brienne learns that Podrick lacks practical squiring skills but is impressed he killed a Kingsguard to protect Tyrion. Beyond the Wall, Jon's group find and defeat the mutineers. Unknown to Jon, Bran and his companions are captives there. Locke attempts to kidnap Bran in the confusion, but Hodor, warged into by Bran, kills him and frees the others. Jojen convinces Bran that they must continue north, while Jon's men are burning Craster's Keep and free his daughter/wives. In Meereen, after Jorah informs Daenerys that Astapor and Yunkai have reverted to slavery, she postpones invading Westeros to instead rule as queen until Slaver's Bay is truly free."
4,6,36,The Laws of Gods and Men,50,Alik Sakharov,Bryan Cogman,11-May-2014,6.4,Ramin Djawadi,Fabian Wagner,Crispin Green,9.7,94,8.6,"April 2, 2013",July–November 2013,A Storm of Swords,"In Essos, Davos and Stannis meet with the Iron Bank to secure a loan for Stannis. Davos re-engages Salladhor Saan and his pirates. In Meereen, Daenerys adapts to her new role as queen, hearing her subjects' endless requests, including nobleman Hizdahr zo Loraq who wishes to reclaim his crucified father's body, and a peasant man whose goats were killed by Daenerys' increasingly uncontrollable dragons. In the Dreadfort, Yara leads a mission to rescue Theon, who, emotionally broken, refuses to leave, forcing Yara to abandon him. Ramsay rewards Theon's obedience and, planning to take Moat Cailin, tasks ""Reek"" to impersonate ""Theon Greyjoy"". In King's Landing, Tywin puts a bounty on the Hound's head and instructs Varys to continue spying on Daenerys. Tyrion is tried for Joffrey's murder. All the witnesses testify against him, including Ser Meryn Trant, Grand Maester Pycelle, Cersei, and Varys, who give compelling, though circumstantial, testimony. To Tyrion's shock, Shae falsely testifies against him. Tyrion proclaims his innocence and demands a trial by combat."
4,7,37,Mockingbird,51,Alik Sakharov,"David Benioff, D. B. Weiss",18-May-2014,7.2,Ramin Djawadi,Fabian Wagner,Tim Porter,9,100,9.2,"April 2, 2013",July–November 2013,A Storm of Swords,"Cersei appoints Ser Gregor Clegane as her champion in Tyrion's upcoming trial by combat. Jaime and Bronn decline to fight Ser Gregor for Tyrion, but Oberyn accepts. He seeks to avenge his sister, Elia's rape and murder by Ser Gregor during the rebellion. Daenerys takes Daario as her lover, then sends him to handle the resurgent slavers at Yunkai. Melisandre and Selyse prepare to depart Dragonstone, intending to take Shireen with them. As the Wildlings approach Castle Black, Alliser Thorne rejects Jon's suggestion to seal the tunnel. At an inn, Brienne and Podrick meet Hot Pie, who updates them about Arya. They resolve to travel to the Vale, deducing she would seek her living relatives there. In the Vale, Lysa witnesses Littlefinger kissing Sansa. Enraged, she later threatens to throw Sansa through the moon door, a circular opening in the floor with a steep drop to rocks below; Littlefinger intervenes and shoves Lysa to her death."
4,8,38,The Mountain and the Viper,52,Alex Graves,"David Benioff, D. B. Weiss",1-Jun-2014,7.17,Ramin Djawadi,Anette Haellmigk,Tim Porter,9.7,96,9.6,"April 2, 2013",July–November 2013,A Storm of Swords,"The Wildlings attack Mole's Town. Ygritte discovers Gilly hiding and spares her and Little Sam. Ramsay forces Theon to negotiate with the Ironborn to surrender Moat Cailin. The Ironborn agree, hoping to return home, but Ramsay flays and slaughters them. As a reward for securing Moat Cailin, Roose legitimizes Ramsay as a Bolton, making him his heir. In the Vale, Sansa tells the council investigating Lysa's death her true identity and claims that Littlefinger is innocent of murdering her aunt. While Littlefinger starts grooming Robin as the Lord of the Vale, the Hound and Arya arrive, only to leave upon learning of Lysa's death. In King's Landing, the trial by combat begins. Oberyn gains the upper hand but momentarily relaxes his guard while demanding that Ser Gregor confess his crimes. Near death, Ser Gregor trips Oberyn and crushes his skull while boasting that he raped and murdered Elia. Tywin sentences Tyrion to death. In Essos, Grey Worm and Missandei grow closer. Barristan Selmy intercepts a long-delayed pardon from King Robert for Jorah as a reward for spying on Daenerys. She then exiles Jorah from Meereen as a result."
4,9,39,The Watchers on the Wall,50,Neil Marshall,"David Benioff, D. B. Weiss",8-Jun-2014,6.95,Ramin Djawadi,David Franco,Katie Weiland,9.6,94,9.4,"April 2, 2013",July–November 2013,A Storm of Swords,"The Night's Watch prepares for the battle. Maester Aemon is revealed to be a Targaryen. Gilly and Little Sam escape Mole's Town and arrive at Castle Black, where Sam hides them. The Wildlings attack from both sides of the wall. Tormund's army breaks through from the south and engages the Night's Watch. A giant breaches the tunnel into Castle Black but is killed by Grenn and five others, at the cost of their own lives. Alliser Thorne joins the fight in the southern part, leaving the incompetent Janos Slynt commanding the Wall. Slynt is told a lie to make him leave the wall and Jon takes charge. After seeing Jon kill Styr, Ygritte aims her bow at him but hesitates, then is fatally shot by Olly. Assisted by Ghost, Jon's direwolf, the Night's Watch secure Castle Black's inner keep, and a wounded Tormund is arrested. The wall climbers are obliterated by a massive swinging scythe. The Wildlings retreat for the night. Jon goes beyond the Wall to find and kill Mance Rayder, believing that the Wildling army will fragment without his command."
4,10,40,The Children,65,Alex Graves,"David Benioff, D. B. Weiss",15-Jun-2014,7.09,Ramin Djawadi,Anette Haellmigk,Tim Porter,9.6,98,8.4,"April 2, 2013",July–November 2013,A Storm of Swords,"Jon's meeting with Mance Rayder abruptly ends when Stannis and his army overrun the Wildling camp, taking Mance prisoner. Bran finds the weirwood tree from his visions but skeletal creatures attack the group, killing Jojen. A Child of the Forest saves the others and takes them to the Three-Eyed Raven, revealed to be an old man encased within tree roots inside a secure cave. In the Vale, Brienne and Podrick encounter Arya and the Hound, who attacks Brienne; she critically wounds him, while Arya runs off and evades Brienne. The Hound begs Arya to kill him, but she takes his money and leaves him for dead. She boards a ship headed to Braavos to find H'ghar. In King's Landing, Cersei orders Qyburn to save Ser Gregor, who was poisoned by Oberyn's blade. Jaime releases Tyrion from prison, but before escaping the city, Tyrion finds Shae in Tywin's bed and fatally strangles her. He confronts and kills Tywin in the privy, then is smuggled aboard a ship by Varys. In Meereen, some ex-slaves miss their bonds, finding freedom a hardship. A citizen brings Daenerys his daughter's charred remains, burned by dragon fire. Daenerys chains Rhaegal and Viserion in the catacombs, while Drogon remains at large."
5,1,41,The Wars to Come,52,Michael Slovis,"David Benioff, D. B. Weiss",12-Apr-2015,8,Ramin Djawadi,David Franco,Katie Weiland,8.3,96,8.7,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","In a flashback, a witch foretells a teenage Cersei that she will one day be a queen until a younger and more beautiful queen usurps her. The witch also predicts Cersei will have three children and her king husband will have twenty. In the present, Tywin is buried, and Lancel Lannister returns, now a devoted convert of a fanatical religious cult called the ""Sparrows"". In Pentos on Essos, a despondent Tyrion accompanies Varys to Meereen to meet Daenerys, who Varys believes may be worthy of the Iron Throne. In Meereen, the insurgent ""Sons of the Harpy"" murder an Unsullied. Daenerys angrily resists restoring old local traditions, including reopening the fighting pits. Missandei asks Grey Worm about why some Unsullied visit brothels. Daenerys visits her two confined dragons, who act aggressively toward her. In the Vale, Littlefinger puts Robin in House Royce's care when he and Sansa depart. At the Wall, Stannis Baratheon seeks to recruit the Wildlings in his war against Roose Bolton, offering citizenship and land as a reward. Jon is unable to persuade Mance Rayder to ""bend the knee"" to Stannis. As Mance is burned alive, Jon ends his agony with an arrow to the heart."
5,2,42,The House of Black and White,55,Michael Slovis,"David Benioff, D. B. Weiss",19-Apr-2015,6.81,Ramin Djawadi,David Franco,Katie Weiland,8.4,96,8.9,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Arya arrives in Braavos and is accepted into the ""House of Black and White"" by Jaqen H'ghar, who calls himself and his colleagues, ""no one"". Jaime recruits Bronn to travel to Dorne with him to retrieve Jaime's niece/daughter Myrcella, who is now betrothed to Trystane Martell, Prince Doran's son. Podrick recognises Littlefinger and Sansa in a tavern; Brienne offers Sansa her protection but is rebuffed. Littlefinger insists Brienne come with them, but she refuses and escapes with Podrick, then secretly follows Sansa. Stannis offers Jon legitimacy and lordship of Winterfell if he leaves the Night's Watch and supports him, but Jon keeps his vow to the Night's Watch; Samwell nominates Jon as Lord Commander against Alliser Thorne; Maester Aemon casts his ballot for Jon, breaking a tie vote. Daenerys incites a riot by executing a former slave who murdered a Sons of the Harpy prisoner prior to his trial. Drogon reappears, but soon leaves."
5,3,43,High Sparrow,59,Mark Mylod,"David Benioff, D. B. Weiss",26-Apr-2015,6.71,Ramin Djawadi,Anette Haellmigk,Tim Porter,8.4,100,9,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Margaery, newly wed to King Tommen Baratheon, manipulates him to consider sending Cersei to Casterly Rock to eliminate her interference. Littlefinger takes Sansa to Winterfell to cement an alliance with Roose Bolton through marriage to his son, Ramsay and Sansa without the Lannisters knowledge. Sansa's unconsummated marriage with Tyrion is considered void. Brienne trains Podrick in swordsmanship. To conform to the House of Black and White, Arya tosses her personal effects into the harbor, but hides Needle in a pile of rocks. At Castle Black, Jon names Thorne First Ranger. When Slynt disobeys Jon's orders, Jon executes him. Lancel discovers the High Septon in a brothel, and he is forced to walk the streets nude as punishment. The High Septon protests to Cersei, who imprisons him. She meets with the High Sparrow, approving the Sparrows' actions. Tyrion and Varys arrive in Volantis. Soon after, Tyrion is abducted by Jorah, intending to give him, ""to the queen""."
5,4,44,Sons of the Harpy,50,Mark Mylod,Dave Hill,3-May-2015,6.82,Ramin Djawadi,Anette Haellmigk,Tim Porter,8.5,96,6.5,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Cersei authorizes arming the Sparrows as the Faith Militant, who then arrest Loras Tyrell for homosexuality. Queen Margaery is enraged, but Tommen proves too weak to countermand them. Melisandre attempts to seduce Jon as a means to convince him to accompany Stannis to Winterfell. In Winterfell, before Littlefinger heads to King's Landing, he dispels Sansa's misgivings about marrying Ramsay, promising that Stannis will defeat the Boltons and rescue her, and even if not, she can manipulate Ramsay. Bronn and Jaime secretly land in Dorne to retrieve Myrcella; hearing this, Ellaria and her Sand Snakes plot to avenge Oberyn's death by abducting Myrcella. Jorah intends to redeem himself to Daenerys by presenting Tyrion as a prisoner. In Meereen, Loraq again appeals to Daenerys to reopen the fighting pits, a local tradition; the Sons of the Harpy ambush an Unsullied patrol inside the citadel, critically wounding Grey Worm and killing Ser Barristan Selmy."
5,5,45,Kill the Boy,56,Jeremy Podeswa,Bryan Cogman,10-May-2015,6.56,Ramin Djawadi,Gregory Middleton,Crispin Green,8.5,94,9,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Brienne and Podrick arrive at an inn near Winterfell and smuggle a message to Sansa, offering her help if it is needed. Sansa discovers Theon is at Winterfell, and Ramsay forces him to apologize to her for supposedly killing her younger brothers. At the Wall, Tormund Giantsbane agrees to an alliance with the Night's Watch in return for the Wildlings to settle south of the Wall. Jon and Tormund travel to Hardhome to persuade the Wildlings. Stannis's army leaves for Winterfell, taking his family and Melisandre with them. In Meereen, as Grey Worm recuperates, he and Misandei develop romantic feelings. Daenerys feeds one Meereen nobleman to her dragons, Viserion and Rhaegal, and imprisons the others. She later agrees to reopen the fighting pits and weds Loraq to facilitate peace. At sea, Tyrion and Jorah sail through Valyria, seeing Drogon flying overhead. They are attacked by stone men and escape, but Jorah is infected with greyscale."
5,6,46,"Unbowed, Unbent, Unbroken",53,Jeremy Podeswa,Bryan Cogman,17-May-2015,6.24,Ramin Djawadi,Gregory Middleton,Crispin Green,7.9,54,7.6,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","H'ghar takes Arya to a chamber filled with the faces of dead people. Jaime and Bronn reach the Water Gardens and find Myrcella with Trystane. The Sand Snakes attack them but Dornish guards arrive and arrest everyone. Jorah and Tyrion are captured by pirates. They narrowly escape slavery when Tyrion manages to talk their way to the fighting pits of Meereen. Littlefinger informs Cersei that Roose Bolton intends to marry Sansa to Ramsay. He offers to lead the knights of the Vale to Winterfell to defeat whichever weakened side wins the conflict between Roose and Stannis. If successful, Littlefinger will be named Warden of the North. Olenna Tyrell arrives in King's Landing and warns Cersei that imprisoning Loras has jeopardized their alliance. At Loras' inquest, Loras and Margaery both deny his homosexuality. The male prostitute, Olyvar, contradicts their testimony and Margaery is arrested for lying to the gods. Tommen is uncertain and ineffective. At Winterfell, Sansa weds Ramsay. On their wedding night, Ramsay rapes her in front of Theon."
5,7,47,The Gift,58,Miguel Sapochnik,"David Benioff, D. B. Weiss",24-May-2015,5.4,Ramin Djawadi,Fabian Wagner,Crispin Green,8.8,84,7.8,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Jon leaves for Hardhome with Tormund and some rangers. Maester Aemon dies shortly after. Gilly is attacked by two Watchmen. Samwell intervenes and is overpowered until Ghost threatens them. Samwell and Gilly consummate their relationship. Sansa begs Theon to help her escape Winterfell, but instead he informs Ramsay, who then flays Brienne's informant inside Winterfell. At his army camp, Stannis refuses Melisandre's request to sacrifice Shireen to gain the Lord of Light's favor. Jorah and Tyrion are sold to slaver, Qaggaz, and are taken to Daznak's fighting pit. Daenerys and her consort, Loraq, inspect the pit in preparation for the upcoming games. Jorah defeats the other fighters, reveals his identity and Tyrion appears as his ""gift"" to her. In Dorne, while in the dungeon, Tyene Sand gives Bronn the antidote to a poison called ""The Long Farewell"" that she has infected him with. Prince Doran allows Jaime to take Myrcella and her fiancé, Prince Trystane, to King's Landing. The High Sparrow denies Olenna's demand that Loras and Margaery be released. The High Sparrow then arrests Cersei for her previous affair with her cousin Lancel."
5,8,48,Hardhome,60,Miguel Sapochnik,"David Benioff, D. B. Weiss",31-May-2015,7.01,Ramin Djawadi,Fabian Wagner,Tim Porter,9.8,100,9.1,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Cersei's uncle, Kevan Lannister, is appointed as the Hand of the King. Cersei refuses to confess her crimes. H'ghar tasks Arya to study a marine insurance vendor who defrauds beneficiaries. Disguised as a shellfish peddler, she is to first learn about the insurer and then poison him. Theon tells Sansa that he faked killing Brandon and Rickon. Ramsay asks Roose for twenty men to attack Stannis's camp. In Meereen, Tyrion convinces Daenerys to spare Jorah's life; she does but exiles him again. Jorah returns to Yezzan and asks to fight in the pits. Daenerys accepts Tyrion into her council. Arriving in Hardhome, Jon and Tormund recruit five thousand Wildlings but an army of wights attacks them. Jon kills a White Walker with Longclaw, his Valyrian steel sword. As he, Tormund, and the other survivors escape by sea, they witness the Night King reanimating the dead Wildlings."
5,9,49,The Dance of Dragons,52,David Nutter,"David Benioff, D. B. Weiss",7-Jun-2015,7.14,Ramin Djawadi,Robert McLachlan,Katie Weiland,9.4,83,8.1,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Ramsay leads a covert attack on Stannis' camp, destroying siege equipment, food stores, and killing many horses. After dispatching Davos to Castle Black to request more supplies, Stannis, with Selyse's approval, allows Melisandre to sacrifice Shireen, burning her alive at the stake, believing it will help win the war. Jon and the other survivors return to the Wall, allowing the Wildlings to pass South. In Dorne, Prince Doran has permitted Jaime and Bronn to return to King's Landing with Myrcella, provided Trystane accompanies them and serves on the small council in Oberyn's stead. Doran also pardons Ellaria and her daughters. Arya aborts her first assassination assignment after spotting Trant accompanying Mace Tyrell, the Master of Coin, who has arrived in Braavos to negotiate with the Iron Bank. In Meereen, combat at Daznak's fighting pit resume. Daenerys is stunned that Jorah is among the fighters. His victory is interrupted when the Sons of the Harpy launch a surprise attack. Loraq is killed while Jorah saves Daenerys. The Harpies quickly swarm Daenerys and her supporters, forcing them and Jorah to retreat into the pit. Drogon suddenly arrives, burning many Sons of the Harpy; Daenerys mounts Drogon and commands him to fly away."
5,10,50,Mother's Mercy,60,David Nutter,"David Benioff, D. B. Weiss",14-Jun-2015,8.11,Ramin Djawadi,Robert McLachlan,Tim Porter,9.1,92,8.3,"April 8, 2014",July–December 2014,"A Feast for Crows, A Dance with Dragons and original content","Selyse, now distraught over Shireen's death, hangs herself, while half of Stannis' forces desert and Melisandre flees to Castle Black. The Boltons easily defeat Stannis' depleted army. Brienne finds Stannis on the battlefield and executes him for Renly Baratheon's murder. Theon kills Myranda after she catches him and Sansa attempting to escape Winterfell. The duo leap from the outer wall together. Cersei confesses her former relationship with Lancel and must atone by parading the streets naked, pelted with garbage, spit, and feces by jeering crowds. Upon reaching the Red Keep, Qyburn introduces her to the newest Kingsguard member who is completely loyal. Jaime, Myrcella, Bronn, and Trystane set sail from Dorne, but Myrcella has been poisoned by Ellaria Sand and soon dies. Arya is punished, losing her sight, for violating the Faceless Men rules after killing Trant for personal revenge. Varys arrives in Meereen to govern the city with Tyrion, Grey Worm, and Missandei, while Daario and Jorah search for Daenerys, who has been captured by a Dothraki horde. Samwell, Gilly, and Little Sam leave Castle Black for Oldtown where Samwell will train as a Maester. Mutineers, including Alliser Thorne and Jon's steward, Olly, fatally stab Jon, leaving his body in the courtyard."
