index,Rank,Name,Age,Country/Territory,Category,Designation
269,36,Anne Finucane,"In 2020, Bank of America created a $2 billion Equality Progress Sustainability Bond, which aims to advance racial equality.",,,
270,37,Tsai Ing-wen,Tsai became the first female leader of Taiwan (and the first unmarried president) when she was elected in 2016.,,,
271,37,Tsai Ing-wen,"Since taking office she has broken protocol by making overtures to the U.S., creating tensions with mainland China.",,,
272,37,Tsai Ing-wen,Tsai won reelection in 2020 with more than 57% of the popular vote. Her victory was seen as a rebuke to Beijing's efforts to control the island.,,,
273,37,Tsai Ing-wen,"Tsai's leadership through Covid is seen as a global model; in January, Taiwan instituted a rigorous track and trace program to prevent mass contagion.",,,
274,37,Tsai Ing-wen,"She has vowed to make Taiwan an indispensable member of the world by stimulating the ecomony with initiatives in biotech, defense and green energy.",,,
275,38,Karen Lynch,"The executive vice president of CVS Health and the president of Aetna, Lynch is the incoming CVS CEO; she'll assume the role in February 2021.",,,
276,38,Karen Lynch,"In March 2020, Lynch took charge of CVS's Covid response; the company manages the largest number of independently-run Covid-testing sites in the US.",,,
277,38,Karen Lynch,Lynch sits on the board of U.S. Bancorp and is an advisory board member of IBM Watson Health. She is also part of the Boston College Women's Council.,,,
278,38,Karen Lynch,She began her career with Ernst & Young as a certified public accountant.,,,
279,39,Sheikh Hasina Wajed,"Sheikh Hasina Wajed, the longest serving prime minister in the history of Bangladesh, is currently serving her fourth term.",,,
280,39,Sheikh Hasina Wajed,"She won the fourth term, which is also her third consecutive term, after her party, Bangladesh Awami League, won 288 of the 300 parliamentary seats.",,,
281,39,Sheikh Hasina Wajed,"During what she believes will be her final term, Hashina plans to focus on issues such as food security and access to education and healthcare.",,,
282,39,Sheikh Hasina Wajed,An ongoing struggle of Hasina has been establishing a firm democracy in Bangladesh.,,,
283,39,Sheikh Hasina Wajed,Hasina and her Awami League party deny accusations of voter suppression in Bangledeshi elections.,,,
284,40,Mary Callahan Erdoes,Mary Callahan Erdoes remains a steady rainmaker for JPMorgan Chase.,,,
285,40,Mary Callahan Erdoes,"As head of Asset & Wealth Management, she oversees $3.4 trillion in client assets.",,,
286,40,Mary Callahan Erdoes,"In 2017, Erdoes branched out to China when the bank received the first license ever to operate a wholly-owned asset-management business in Shanghai.",,,
287,40,Mary Callahan Erdoes,"She continues to shape company culture with programs like ASCEND, a sponsorship program to retain and promote female and ethnic diversity.",,,
288,40,Mary Callahan Erdoes,The real question is: Will she be rewarded with the top job when CEO Jamie Dimon retires? Both Erdoes and Marianne Lake are on the short list.,,,
289,41,Nirmala Sitharaman,"Nirmala Sitharaman was appointed as India's finance minister in May 2019, and is also the minister for corporate affairs.",,,
290,41,Nirmala Sitharaman,She is India's first full-time female finance minister.,,,
291,41,Nirmala Sitharaman,"Before her career in politics, Sitharaman held roles at the U.K.-based Agricultural Engineers Association and BBC World Service.",,,
292,41,Nirmala Sitharaman,She has also served as a member of the National Commission for Women.,,,
293,42,Laurene Powell Jobs,"Laurene Powell Jobs inherited billions of dollars of stock in Apple and Disney from her late husband, Apple cofounder Steve Jobs.",,,
294,42,Laurene Powell Jobs,"In 2017, she bought a minority stake in the parent of the NBA's Washington Wizards and the NHL's Washington Capitals.",,,
295,42,Laurene Powell Jobs,"She's also purchased stakes in several media outlets, including a majority of The Atlantic magazine and all of California Sunday and Popup Magazine.",,,
296,42,Laurene Powell Jobs,"She has been putting her fortune to work through Emerson Collective, a hybrid investment, social impact and philanthropic firm she founded in 2004.",,,
297,42,Laurene Powell Jobs,"She launched the Emerson Collective Foundation during the second half of 2016 with a gift of $1.2 billion, much of it in Disney shares.",,,
298,43,Marianne Lake,"After serving as JPMorgan's CFO from 2013 to 2019, Lake was promoted to CEO of JPMorgan Consumer Lending in April 2019.",,,
299,43,Marianne Lake,"In this role, Lake oversees Chase Card Services and the bank's home lending and auto finance divisions.",,,
300,43,Marianne Lake,"In her prior role as CFO and a member of the firm's operating committee, Marianne Lake had kept track of $2.5 trillion in total assets.",,,
301,43,Marianne Lake,Her name has come up repeatedly as a potential successor to Jamie Dimon as CEO.,,,
302,43,Marianne Lake,She has been public about her decision at 42 to have her three children through a surrogate even though she didn't have a partner.,,,
303,44,Kathy Warden,Kathy Warden has served as CEO and president of Northrop Grumman Corporation sinceJanuary 2019.,,,
304,44,Kathy Warden,"In August 2019, she was elected chairman of the company's Board of Directors; she's been a member of the board of directors since 2018.",,,
305,44,Kathy Warden,"Prior to joining Northrop Grumman in 2008, she held leadership roles at General Dynamics and the Veridian Corporation.",,,
306,44,Kathy Warden,She also serves as the chair of the Board of Directors of the Federal Reserve Bank of Richmond and is a member of the Catalyst Board of Directors.,,,
307,45,Gina Rinehart,Australia's richest citizen built her wealth on iron ore.,,,
308,45,Gina Rinehart,"The daughter of high profile iron-ore explorer Lang Hancock, Rinehart rebuilt her late father's financially distressed company, Hancock Prospecting.",,,
309,45,Gina Rinehart,"The biggest piece of her fortune comes from the Roy Hill mining project, which started shipments to Asia in 2015.",,,
310,45,Gina Rinehart,"The mining magnate is also Australia's third-largest cattle producer, with a portfolio of properties across the country.",,,
311,46,Queen Elizabeth II,"On the throne since 1952, Queen Elizabeth is the longest-reigning monarch in British history. She has become much loved and respected globally.",,,
312,46,Queen Elizabeth II,The 94-year-old matriarch is still setting the tone at public events and receiving world leaders at Buckingham Palace and Windsor Castle.,,,
313,46,Queen Elizabeth II,"Ever the modern royal, ""HRH"" posted her first Tweet in 2014 and has rolled with the protocol breaches favored by the younger royal family.",,,
314,46,Queen Elizabeth II,"Her patronages and charities cover a range of issues, from opportunities for young people, to the preservation of wildlife and the environment.",,,
315,47,Mingzhu Dong,"Dong joined Gree in 1990 as a salesperson. Today she is president of the company, a major home appliance maker known for its air conditioners.",,,
316,47,Mingzhu Dong,"In spring 2020, Gree pivoted its manufacturing facilities to help produce more masks and other pandemic supplies.",,,
317,47,Mingzhu Dong,Other efforts to diversify beyond air conditioners into areas such as alternative energy vehicles and smartphones have been lukewarm.,,,
318,47,Mingzhu Dong,The company is still dependent on air conditioners with sales making up 80% of the company's profits.,,,
319,48,Rosalind Brewer,Brewer is the first woman and first African-American to serve as COO of Starbucks.,,,
320,48,Rosalind Brewer,"In 2019, she also became the only Black woman to sit on Amazon's board.",,,
321,48,Rosalind Brewer,"At Starbucks, she has she helped the company implement policy changes and racial bias training for employees in more than 8,000 stores.",,,
322,48,Rosalind Brewer,Brewer has also bolstered Starbucks' sustainability initiatives including the introduction of a reusable version of the popular Starbucks holiday cup.,,,
323,48,Rosalind Brewer,"Before Starbucks, Brewer was CEO of Sam's Club which she helped bring into the modern day with services such as advance online ordering of groceries.",,,
324,49,Gwynne Shotwell,"Gwynne Shotwell is SpaceX's president and COO, and manages the operations of the commercial space exploration company founded by Elon Musk.",,,
325,49,Gwynne Shotwell,"It's grown from a futuristic idea of enabling people to live on other planets to a company with over 6,000 employees and a valuation of $46 billion.",,,
326,49,Gwynne Shotwell,"In May 2020, the company sent astronauts to the International Space Station for the first time as part of a contract with NASA.",,,
327,49,Gwynne Shotwell,"Shotwell was the 11th employee of SpaceX, and joined the company in 2002. Before that, she was at Microcosm, Inc. as space systems director.",,,
328,49,Gwynne Shotwell,"Since 2019, SpaceX has launched over 700 satellites for its Starlink project, which aims to provide high-speed internet service across the globe.",,,
329,50,Vicki Hollub,Hollub became the first woman to head a major American oil company when she was named the president and CEO of Occidental Petroleum in April 2016.,,,
330,50,Vicki Hollub,"In April 2019, Warren Buffett teamed up with Hollub to back Oxy's $57 billion bid for Anadarko Petroleum; the acquisition was completed in August.",,,
331,50,Vicki Hollub,"Oxy's plans to shift toward a carbon-neutral production model, and is calling for federal legislation aimed at boosting carbon capture.",,,
332,50,Vicki Hollub,She now has sights set on pursuing investment opportunities in the Middle East.,,,
333,51,Dana Walden,Walden is now chairman of Disney Television Studios and ABC Entertainment after Disney's $71.3 billion purchase of a bulk of 21st Century Fox.,,,
334,51,Dana Walden,"Walden heads 20th Century Fox TV, ABC Studios, the Freeform network, ABC-owned TV stations, ABC Entertainment and several other divisions.",,,
335,51,Dana Walden,"Before the deal, Walden served as the chair and CEO of Fox Television Group, where she oversaw one of the most successful studios in Hollywood.",,,
336,51,Dana Walden,In June 2018 she was elected to the board of directors at Live Nation Entertainment. She is also on the board of Hulu.,,,
337,52,Erna Solberg,"Dubbed Norway's Angela Merkel, Solberg was elected to a second term in 2017 after steering the country through an oil crisis, avoiding a recession.",,,
338,52,Erna Solberg,She has melded a conservative fiscal stance with a humanistic point of view that also emphasizes people's needs.,,,
339,52,Erna Solberg,"A frequent voice for women's rights, she pledged to increase Norway's support for women's reproductive health rights by NOK 700 million by 2020.",,,
340,52,Erna Solberg,"However, she subsequently stirred country-wide demonstrations by expressing a willingness to discuss stricter abortion laws.",,,
341,52,Erna Solberg,"In November 2020, Solberg said gender equality is ""essential for a sustainable recovery"" from the economic crisis brought on by the Covid pandemic.",,,
342,53,Donna Langley,"Chairman of Universal Filmed Entertainment Group, movie maven Langley has guided Universal to unparalleled growth.",,,
343,53,Donna Langley,"Under her leadership, the company crossed $4 billion at the worldwide box office in 2018 for the second time in its 105-year history.",,,
344,53,Donna Langley,"Langley has overseen juggernaut movie franchises like Fast & Furious, Jurassic World, the Bourne series, Pitch Perfect, Fifty Shades, and more.",,,
345,53,Donna Langley,"In 2020, with movie theaters shut down amid the pandemic, Langley created premium on demand: new movies streamed at home for $20.",,,
346,53,Donna Langley,She has shown a deft touch when it comes to original and low-budget films like Get Out and Split which were produced for less than $10 million each.,,,
347,54,Jennifer Salke,"Jennifer Salke, former NBC Entertainment president, was named head of streaming giant Amazon Studios in February 2018.",,,
348,54,Jennifer Salke,"In October 2019, Amazon Studios teamed up with Howard University to launch Howard Entertainment in an effort to diversify the entertainment industry.",,,
349,54,Jennifer Salke,"In February 2019, Salke announced she'd be taking Amazon Studios global, and has approved the production of 20 series from around the world.",,,
350,54,Jennifer Salke,"In the time since coming into power, Salke has signed on talent including writer-producer Lena Waithe and Nicole Kidman.",,,
351,55,Roshni Nadar Malhotra,"Malhotra is CEO of HCL Corporation, the holding company for all group entities and chairperson of the publicly traded company HCL Technologies.",,,
352,55,Roshni Nadar Malhotra,She's responsible for all strategic decisions for the $9.9 billion technology company.,,,
353,55,Roshni Nadar Malhotra,"Founded by her father, Shiv Nadar, in 1976, HCL became a central player in India's rise as an IT hub.",,,
354,55,Roshni Nadar Malhotra,Malhotra took HCL's chairperson role from her father in July 2020.,,,
355,55,Roshni Nadar Malhotra,"She is a trustee of the Shiv Nadar Foundation, which is focused on education and has established some of India's top colleges and schools.",,,
356,56,Simonetta Sommaruga,Simonetta Sommaruga became president of the Swiss Confederation in 2020; she previously held the position in 2015.,,,
357,56,Simonetta Sommaruga,Sommaruga's political career began as a member of Bern's grand council from 1981 to 1990.,,,
358,56,Simonetta Sommaruga,In 1991 she became the director of the Swiss Consumer Protection Foundation; she went on to join the Swiss Federal Council in 2010.,,,
359,56,Simonetta Sommaruga,She is a trained concert pianist and still spends her free time playing piano.,,,
360,57,Elvira Nabiullina,"A former economic advisor to Russian President Vladamir Putin, Nabiullina became the first woman to run a central bank of a G8 country in 2013.",,,
361,57,Elvira Nabiullina,She believes that keeping a floating exchange rate and reserving the surplus from the sale of hydrocarbons has reduced Russia's dependence on oil.,,,
362,57,Elvira Nabiullina,"Nabiullina says the risks to the Russian economy are changes in oil prices, worsening trade wars and the strengthening of sanctions on oil and energy.",,,
363,57,Elvira Nabiullina,She has said that the bank had developed a system of measures with every major bank in the event Washington imposes sanctions on Russia.,,,
364,58,Tricia Griffith,Griffith began her time at Progressive 31 years ago as a claims representative and now serves as the company's CEO.,,,
365,58,Tricia Griffith,"By implementing a plan to sell bundles of auto plus home insurance, Griffith helped the company gain significant market share.",,,
366,58,Tricia Griffith,Progressive is the third-largest car insurer in the U.S.,,,
367,58,Tricia Griffith,"Griffith joined the FedEx board in March of 2018, making her the 4th female member.",,,
368,58,Tricia Griffith,Progressive has won praise for the $1 billion in rebates it gave to customers in 2020 after less driving led to fewer accidents and fewer claims.,,,
369,59,Nicola Sturgeon,"Since 2014, Sturgeon has served as Scotland's First Minister and head of the Scottish National party; she's the first woman to hold either role.",,,
370,59,Nicola Sturgeon,"She's staunchly defended Scotland's interests amid Brexit negotiations,",,,
371,59,Nicola Sturgeon,Sturgeon wants a second referendum for Scottish independence--which would let the Scots exit the U.K. and stay in the E.U.,,,
372,59,Nicola Sturgeon,Sturgeon has reinforced the case for continued membership of the single market and customs union.,,,
373,59,Nicola Sturgeon,"In 2020, Scotland became the first country to make period products free to all who need them.",,,
374,60,Maggie Wei Wu,"Wei Wu was appointed CFO of Alibaba, the global retail and tech giant, in May 2013.",,,
375,60,Maggie Wei Wu,Wei Wu implemented the infrastructure leading to its IPO in 2014.,,,
376,60,Maggie Wei Wu,"Her financial oversight spans commercial operations, cloud computing and the new retail strategy that integrates ecommerce and conventional retailing.",,,
377,60,Maggie Wei Wu,Wei Wu credited the robust growth to its core commerce business and cloud computing business.,,,
378,61,Lynn Good,"Under Good's leadership, Duke Energy has made substantial investments in solar energy, modernizing the power grid and natural gas infrastructure.",,,
379,61,Lynn Good,"Since 2005, the company has reduced carbon dioxide emissions by 31% and hopes to achieve net-zero emissions by 2050.",,,
380,61,Lynn Good,She was previously CFO and earlier led the company's commercial energy businesses.,,,
381,61,Lynn Good,Duke Energy has paid a quarterly cash dividend on its common stock for 93 consecutive years.,,,
382,62,Kelly Zhang,"Zhang joined Bytedance, TikTok's parent company, in 2014 when the company acquired a photo sharing app that she had founded.",,,
383,62,Kelly Zhang,She became the company's CEO in March 2020.,,,
384,62,Kelly Zhang,"Zhang oversees Chinese market strategy for Bytedance, overseeing partnerships for news app Toutiao and Douyin, the Chinese version of TikTok.",,,
385,62,Kelly Zhang,Bytedance said in September that Douyin hit 600 million daily active users as of August.,,,
386,63,Yuriko Koike,"Koike is the first woman to be elected as Tokyo's governor. In July 2020, she captured 60% of the vote to win reelection in a landslide.",,,
387,63,Yuriko Koike,"She was propelled to victory by her good handling of the city's coronavirus response, which included providing support for small businesses.",,,
388,63,Yuriko Koike,"""Our urgent task, above everything else, is coronavirus responses,"" she said in July 2020.",,,
389,63,Yuriko Koike,"As head of the world's largest city (by population), Koike is considered a contender to one day be Japan's prime minister.",,,
390,63,Yuriko Koike,"Before entering politics in the 90's, Koike was a journalist, even nabbing an award for Female Broadcaster of Japan in 1990.",,,
391,64,Wang Feng Ying,"Wang is the first female CEO of Great Wall Motor, China's largest manufacturer of SUV and pickup trucks.",,,
392,64,Wang Feng Ying,"Betting on electric, she announced in March of 2018 that the company plans to invest over $3 billion in electric vehicle R&D by 2020.",,,
393,64,Wang Feng Ying,This follows a shift in Chinese government policy. They began implementing production quotas for zero-emission and low-emission vehicles in 2019.,,,
394,64,Wang Feng Ying,"In July 2018, the company had to rethink its plans for its U.S. business, after President Trump announced a 25% tariff on Chinese car exports.",,,
395,65,Melanie Kreis,"Kreis became CFO of Deutsche Post, the world's largest logistics company, in October 2016 and is the only woman on its executive board.",,,
396,65,Melanie Kreis,"Kreis, who was previously a member of the Deutsche Post board for human resources and CFO of DHL Express, is the first woman to hold the position.",,,
397,65,Melanie Kreis,"She played a key role in executing the sale of Deutsche Post's stake in Postbank, a German retail bank, to Deutsche Bank.",,,
398,65,Melanie Kreis,"In 2018, the company invested $21 million in supply risk company Resilience360.",,,
399,66,Paula Santilli,Paula Santilli started in her role as CEO of PepsiCo Latin America in May 2019.,,,
400,66,Paula Santilli,"She leads the company's food and beverage businesses for Mexico, South America, Central America, and the Caribbean.",,,
401,66,Paula Santilli,"Santilli previously served as President of PepsiCo Mexico Foods, and also led the PepsiCo Mexico Foundation.",,,
402,67,MacKenzie Scott,"MacKenzie Scott is an author and the ex-wife of Amazon founder Jeff Bezos, to whom she was married for 25 years. They divorced in mid 2019.",,,
403,67,MacKenzie Scott,"As part of the divorce settlement, Jeff transferred 25% of his Amazon stake to MacKenzie, which was 4% of the company.",,,
404,67,MacKenzie Scott,"In May 2019, shortly after she announced the terms of the divorce on Twitter, she signed the Giving Pledge.",,,
405,67,MacKenzie Scott,MacKenzie and Jeff met in 1992 when they both worked at hedge fund D.E. Shaw. They married the next year and moved to Seattle in 1994.,,,
406,67,MacKenzie Scott,"Scott, who has published two novels, was a student of author Toni Morrison at Princeton and worked as a research assistant for her.",,,
407,67,MacKenzie Scott,"In late July 2020, she announced she'd given nearly $1.7 billion to 119 nonprofit groups, and that she changed her last name from Bezos to Scott.",,,
408,68,Kiran Mazumdar-Shaw,"Mazumdar-Shaw, India's richest self-made woman, founded India's largest listed biopharmaceutical firm by revenue, in 1978.",,,
409,68,Kiran Mazumdar-Shaw,"The firm has successfully forayed into the lucrative US biosimilars market, catching the attention of investors.",,,
410,68,Kiran Mazumdar-Shaw,The company has sold 3 billion doses of insulin to date and has Asia's largest insulin factory in Malaysia's Johor region.,,,
411,68,Kiran Mazumdar-Shaw,Biocon has received Indian regulatory permission to conduct phase 4 trials for its drug Itolizumab as a potential treatment for Covid-19.,,,
412,68,Kiran Mazumdar-Shaw,"Her philanthropic initiative, The Mazumdar Shaw Medical Centre, aims to create a sustainable, affordable cancer care model.",,,
413,69,Rihanna,"Rihanna, one of the most publicly charitable celebrities, has donated upwards of $8 million to coronavirus relief efforts.",,,
414,69,Rihanna,"She gave $1 million to New York's needy, $2.1 million to abuse victims in LA and $5 million to other charities through her Clara Lionel Foundation.",,,
415,69,Rihanna,"Despite her musical success, she's made the bulk of her fortune from Fenty Beauty, the makeup brand she co-owns with luxury goods group LVMH.",,,
416,69,Rihanna,She also co-owns Savage X Fenty lingerie line with investors including online fashion firm TechStyle Fashion Group.,,,
417,69,Rihanna,The Barbados native overcame hardships including an abusive addict father and a well-publicized assault by Chris Brown.,,,
418,70,Zhou Qunfei,"Zhou Qunfei chairs Lens Technology, a smartphone screen supplier whose customers include Samsung, LG, Microsoft and Nokia.",,,
419,70,Zhou Qunfei,"A migrant factory worker as a teenager, Zhou has gone on to become one of the world's richest self-made women.",,,
420,70,Zhou Qunfei,Her consumer electronics supplier also laminates display panels for Tesla.,,,
421,70,Zhou Qunfei,Zhou first took the plunge as an entrepreneur in 1993 when she set up a watch parts company with relatives in an apartment in Shenzhen.,,,
422,70,Zhou Qunfei,"Lens Technology went public on the Shenzhen Stock Exchange in March 2015, 22 years after she founded the company.",,,
423,71,Sophie Wilmes,Wilmes was appointed Prime Minister of Belgium in October 2019.,,,
424,71,Sophie Wilmes,She is Belgium's first female head of government in its 189-year history.,,,
425,71,Sophie Wilmes,"She is a member of the francophone liberal party, which is the fourth-largest party.",,,
426,71,Sophie Wilmes,"Prior to taking on her new role, she was Belgium's minister of budget, civil service, national lottery and scientific policy.",,,
427,72,Beyoncé Knowles,"Beyonce's On The Run II stadium tour with husband Jay-Z grossed roughly $5 million per night, pulling in a total of more than $250 million.",,,
428,72,Beyoncé Knowles,"In April 2019, the pop star released 'Homecoming,' a live album and Netflix special about her groundbreaking 2018 performance at Coachella.",,,
429,72,Beyoncé Knowles,"Also in April, Beyonce announced a new partnership with Adidas to relaunch her activewear line Ivy Park.",,,
430,72,Beyoncé Knowles,Beyonce first rose to fame as the lead singer in girl-group Destiny's Child.,,,
431,72,Beyoncé Knowles,She voices the part of Nala in the 'Lion King' remake.,,,
432,72,Beyoncé Knowles,"Her husband Jay-Z is now a billionaire thanks to a variety of investments in music, art and liquor.",,,
433,73,Kathleen Kennedy,"President of Lucasfilm since its acquisition by Disney in 2012, Kennedy has produced five Star Wars movies, grossing more than $5 billion worldwide.",,,
434,73,Kathleen Kennedy,"Her contract renewal through 2021 silenced speculation over her future at the studio given poor box office returns for ""Solo: A Star Wars Story.""",,,
435,73,Kathleen Kennedy,"Kennedy has led a creative and commercial resurgence for Star Wars stories, bringing in a new audience for the franchise.",,,
436,73,Kathleen Kennedy,"In December 2017, Kennedy set up The Hollywood Commission on Eliminating Sexual Harassment and Advancing Equality.",,,
437,73,Kathleen Kennedy,In November 2018 she received an honorary Oscar for lifetime achievement.,,,
438,74,Judy Faulkner,"Judy Faulkner founded America's leading medical-record software provider, Epic, in a Wisconsin basement in 1979.",,,
439,74,Judy Faulkner,"Faulkner, a computer programmer, is still CEO of the $3.2 billion (2019 sales) company.",,,
440,74,Judy Faulkner,Epic supports the medical records of over 250 million patients and is used by top medical centers such as Johns Hopkins and Mayo Clinic.,,,
441,74,Judy Faulkner,"The company has never raised venture capital or made an acquisition, and develops all its software in-house.",,,
442,74,Judy Faulkner,Faulkner signed the Giving Pledge in 2015 and has agreed to eventually gift 99% of her stake in Epic to a private charitable foundation.,,,
443,75,Mette Frederiksen,Frederiksen has been Prime Minister of Denmark since June 2019 and the leader of Denmark's center-left Socialist Democratic party since June 2015.,,,
444,75,Mette Frederiksen,She's the youngest prime minister in Danish history and the second woman.,,,
445,75,Mette Frederiksen,"Frederiksen made international headlines for informing President Donald Trump that Greenland was not for sale. She called the idea ""absurd.""",,,
446,75,Mette Frederiksen,Boosting welfare spending and tackling climate issues are two of her main priorities.,,,
447,76,Güler Sabanci,"Güler Sabanci is the first woman to run Sabanci Holding, her family business, which was started by her grandfather in the 1930s.",,,
448,76,Güler Sabanci,"Originally a textile company, Sabanci has since expanded to become the second-largest conglomerate in Turkey.",,,
449,76,Güler Sabanci,"Her company's holdings include banking, energy, retail and insurance.",,,
450,76,Güler Sabanci,"She is also the founding president of Sabanci University and the chair of the Sabanci Foundation, Turkey's largest private charity.",,,
451,76,Güler Sabanci,"Despite the July 2016 coup attempt, the company helped construct a new coal-fired power plant, the largest in Turkey.",,,
452,77,Andrea Marques de Almeida,Marques de Almeida became CFO of the Brazilian oil and gas company Petrobras in March 2019.,,,
453,77,Andrea Marques de Almeida,"In December 2019, Marques de Almeida announced Petrobas will add assets to its divestment portfolio.",,,
454,77,Andrea Marques de Almeida,This is on top of its plan to divest between $20 billion and $30 billion over the next five years.,,,
455,77,Andrea Marques de Almeida,"She's a production engineer, and a former executive at mining company Vale SA.",,,
456,78,Sri Mulyani Indrawati,Indrawati returned to her role as minister of finance for Indonesia after serving as managing director and COO of the World Bank.,,,
457,78,Sri Mulyani Indrawati,"As minister of finance, she is increasing state revenue through tax reforms that will expand e-filing services and boost taxpayer compliance.",,,
458,78,Sri Mulyani Indrawati,"Last year, Indrawati received the prestigious Best Minister award at the World Government Summit for her efforts to implement reforms.",,,
459,78,Sri Mulyani Indrawati,"While at the World Bank, she used her platform to promote gender equality.",,,
460,78,Sri Mulyani Indrawati,"Indrawati served as Indonesia's minister of finance from 2005 to 2010, helping to guide the country's transition from autocracy to democracy.",,,
461,79,Ava DuVernay,"Filmmaker, producer and director DuVernay is the first Black woman to be nominated by the Academy as a director in a feature category.",,,
462,79,Ava DuVernay,"She was the first woman of color to direct a $100-million-grossing film, the 2018 Disney fantasy adaptation of A Wrinkle in Time.",,,
463,79,Ava DuVernay,"Her Emmy-winning series When They See Us, which premiered in May 2019, became the most-watched series on Netflix.",,,
464,79,Ava DuVernay,"In addition to her distribution company, ARRAY, she opened the LA-based Amanda Theater in October 2019.",,,
465,79,Ava DuVernay,"In November 2018, DuVernay signed a $100 million deal with Warner Brothers.",,,
466,80,Solina Chau,"Hoi Shuen Chau, also known as Solina Holly, is the director of Li Ka Shing foundation, which invests globally in education and healthcare projects.",,,
467,80,Solina Chau,"The philanthropic vehicle of Asia's richest man, Li Ka-shing, the foundation has donated more than $2.6 billion.",,,
468,80,Solina Chau,"In 1999, Chau cofounded Horizons Ventures, an active funder of disruptive and technology-focused start-ups.",,,
469,80,Solina Chau,"Through Horizons Ventures she's had her hand in investments including Waze, Skype, Slack, Hampton Creek and Facebook.",,,
470,80,Solina Chau,"She compares her partnership with Li, who is also a backer of her VC firm and a close confidante, to that of Sancho Panza and Don Quixote.",,,
471,81,Lam Wai-ying,"Lam and her husband Yeung Kin-man own Hong Kong's Biel Crystal Manufactory, earning them a combined fortune of approximately $8.3 billion.",,,
472,81,Lam Wai-ying,"Lam, Biel's chairman, owns 49% of the business; Yeung holds 51%.",,,
473,81,Lam Wai-ying,"Biel is the largest supplier of glass screens for cell phones, tablets, and watches to Apple and employs 100,000 people in mainland China.",,,
474,81,Lam Wai-ying,"While weakening iPhone demand may affect shipments to Apple, they also supply Samsung and Sony and have stated they expect stable revenue.",,,
475,81,Lam Wai-ying,The company recently decided to push back its planned $1.5 billion initial IPO in Hong Kong due to the sell-off in the equities market.,,,
476,82,Taylor Swift,"Taylor Swift released new album ""Lover"" in 2019, the first in her new deal with Universal's Republic Records.",,,
477,82,Taylor Swift,"In July 2020, Swift surprise-released ""Folklore,"" written and produced entirely in quarantine. It was the year's first album to sell 1 million units.",,,
478,82,Taylor Swift,"Following the Covid-19 outbreak, Swift canceled all her 2020 tour dates, with plans to reschedule some for 2021.",,,
479,82,Taylor Swift,"Swift has leveraged her fame to encourage political action, asking fans to support the Equality Act with her 2019 single ""You Need To Calm Down.""",,,
480,83,Zuzana Caputova,"Caputova, an anti-corruption activist and lawyer, kicked off her five-year term as president of Slovakia in June 2019.",,,
481,83,Zuzana Caputova,The 47-year-old is both Slovakia's youngest and first female president.,,,
482,83,Zuzana Caputova,"In her inauguration speech, Caputova vowed to improve the justice system and fight impunity and corruption.",,,
483,83,Zuzana Caputova,Her influence helped spark 2018 protests that forced former Prime Minister Robert Fico to resign after the murder of a political corruption reporter.,,,
484,83,Zuzana Caputova,"Caputova has been called ""the lone political voice in a sea of demagoguery.""",,,
485,84,Mary Meeker,"Mary Meeker is a general partner of venture capital firm Bond Capital, her new growth fund that raised $1.25 billion in capital commitments in 2019.",,,
486,84,Mary Meeker,"From 2010 to 2018, she was a partner at VC giant Kleiner Perkins.",,,
487,84,Mary Meeker,"Meeker is known for shrewd bets on Instacart, Slack, Square, Airbnb and Houzz, as well as Facebook and Twitter.",,,
488,84,Mary Meeker,"Each spring, Meeker captivates Silicon Valley with her famous Internet Trends report, which details her tech predictions in 200 data-laden slides.",,,
489,85,Sanna Marin,"When Sanna Marin was sworn in as Finland's prime minister in December 2019, she was 34 years old--and the youngest prime minister in the world.",,,
490,85,Sanna Marin,Marin leads a coalition government in which all five party leaders are women.,,,
491,85,Sanna Marin,"She first entered Finnish parliament in 2015, as a member of the Social Democratic party.",,,
492,85,Sanna Marin,Marin scored high marks for how she navigated the country through the first wave of Covid-19 infections in the spring of 2020.,,,
493,85,Sanna Marin,Among her tactics: tapping social media influencers to help spread public health information about the virus.,,,
494,86,Eliza Manningham-Buller,"Eliza Manningham-Buller is chair of the Wellcome Trust, one of the biggest medical trusts in the world.",,,
495,86,Eliza Manningham-Buller,The trust was established in 1936 at the behest of pharmaceutical entrepreneur Henry Wellcome. It now has a £25.9 billion investment portfolio.,,,
496,86,Eliza Manningham-Buller,"The trust continues to tackle the globe's biggest health problems, including finding a vaccine for Ebola and a cure for three tropical diseases.",,,
497,86,Eliza Manningham-Buller,"Between 2002 and 2007, Manningham-Buller was Director-General of the UK Security Service (MI5) and led the service through significant change.",,,
498,87,Linda Rendle,"Rendle became Clorox's CEO in September of 2020, at the age of 42.",,,
499,87,Linda Rendle,She first joined Clorox in 2003 as a senior sales analyst within the company's charcoal and insecticides business.,,,
500,87,Linda Rendle,"During the pandemic, the company increased its production of cleaning products by 50%;",,,
501,88,Tory Burch,"Fashion mogul Tory Burch's preppy-chic lifestyle brand brings in $1.5 billion in sales from apparel, footwear, watches, accessories, and fragrances.",,,
502,88,Tory Burch,"During the Covid-19 pandemic, Burch had to shut down many of her 315 Tory Burch stores across the globe and furlough most of her retail employees.",,,
503,88,Tory Burch,"In January 2019, Burch became executive chairman and chief creative officer of the fashion company that bears her name.",,,
504,88,Tory Burch,"Pierre-Yves Roussel, a former LVMH executive and Burch's husband, took over the CEO position.",,,
